Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0.3686016,1,0.04218405,0.2009946,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.02160645,-0.8933105,0.03747559,0,0,0,0,0,0
0.01,0.2165419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06335449,-0.940918,0.1195068,0,0,0,0,0,0
0.02,0.09812176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007568359,-1.089233,0.1166992,0,0,0,0,0,0
0.03,0.04314433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05697777,0.06482086,0.06251407,-0.2315674,-1.126465,0.1025391,0,0,0,0,0,0
0.04,0.003921574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2374268,-1.02832,-0.04748535,0,0,0,0,0,0
0.05,-0.06669273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2043457,-1.068359,0.05505371,0,0,0,0,0,0
0.05999999,-0.09812176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1811523,-0.9954834,0.1647949,0,0,0,0,0,0
0.06999999,-0.113854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03015137,-1.216553,0.1843262,0,0,0,0,0,0
0.07999999,-0.113854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.08166504,-1.226685,0.04125977,0,0,0,0,0,0
0.08999999,-0.09812176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2024238,0.01299511,-0.01774332,-0.137085,-1.012207,-0.00769043,0,0,0,0,0,0
0.09999999,-0.06669273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.1676025,-0.8433838,-0.07751465,0,0,0,0,0,0
0.11,-0.01176485,1,0.0263185,0.08514809,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.002563477,-0.854248,-0.25354,0,0,0,0,0,0
0.12,0.05884144,1,0.03503053,0.1380615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01799322,-0.06597516,-0.1099586,0.06140137,-0.9177246,-0.1588135,0,0,0,0,0,0
0.13,0.1059862,1,0.03951317,0.1393359,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1082764,-0.9884033,-0.1743164,0,0,0,0,0,0
0.14,0.1927661,1,0.01840736,0.05089094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07849121,-0.833252,-0.01696777,0,0,0,0,0,0
0.15,0.2722459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1589402,0.04973128,0.02274144,0.09338379,-0.9559326,0.137207,0,0,0,0,0,0
0.16,0.3444016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.04003906,-1.001831,0.06835938,0,0,0,0,0,0
0.17,0.433522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1744385,-1.019409,0.07470703,0,0,0,0,0,0
0.18,0.4743927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1026523,0.03137238,0.09850004,-0.1784668,-1.046875,-0.1988525,0,0,0,0,0,0
0.19,0.4825947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2258301,-1.10022,-0.009277344,0,0,0,0,0,0
0.2,0.4825947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.401001,-1.188965,0.487915,0,0,0,0,0,0
0.21,0.5072563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3292236,-1.291382,0.2811279,0,0,0,0,0,0
0.22,0.5723898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.3471722,0.0189157,-0.01799298,-0.2005615,-1.022827,-0.07849121,0,0,0,0,0,0
0.23,0.6207611,0.981203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.005126953,-0.7745361,-0.09509277,0,0,0,0,0,0
