Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002499059,-0.003498683,0.007996988,-0.04248047,-1.013794,-0.1505127,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003614002,-0.006728192,0.0118224,-0.04077148,-1.005859,-0.1522217,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005747571,-0.006727907,0.005093946,-0.04260254,-1.004639,-0.1489258,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002537472,-0.003460189,-0.000922717,-0.04345703,-1.00061,-0.1513672,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002998627,-0.003748283,-0.001249428,-0.04614258,-1.010376,-0.1452637,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009957192,-0.007535162,0.0014032,-0.04492188,-1.004639,-0.1486816,0,0,0,0,0,0
0.05999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006266589,-0.006478001,0.004786401,-0.04467773,-0.9989014,-0.1430664,0,0,0,0,0,0
0.06999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001383953,-0.002998566,0.003459883,-0.04528809,-1.001709,-0.1464844,0,0,0,0,0,0
0.07999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002076113,-0.003921547,0.003921547,-0.0456543,-1.002319,-0.1461182,0,0,0,0,0,0
0.08999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003460189,-0.004152226,0.004152226,-0.04431152,-0.9997559,-0.1464844,0,0,0,0,0,0
0.09999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00449794,-0.004747826,0.003248512,-0.0435791,-0.9924316,-0.1496582,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008745994,-0.00949565,0.001249428,-0.04724121,-0.9902344,-0.1503906,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008496433,-0.007496851,-0.0009995829,-0.046875,-0.9906006,-0.1503906,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001999247,-0.003498683,-0.0009996236,-0.04638672,-0.9874268,-0.1468506,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001999247,-0.002998871,-0.002748965,-0.04553223,-0.9904785,-0.1464844,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005747571,-0.006497228,-0.008842433,-0.04724121,-0.9875488,-0.1451416,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00699704,-0.007246986,-0.01324448,-0.04650879,-0.980835,-0.151001,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002498855,-0.003998169,-0.008995879,-0.04724121,-0.9787598,-0.1477051,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995422,-0.003748283,-0.009495651,-0.04431152,-0.9783936,-0.1485596,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007496913,-0.005497726,-0.01624321,-0.04296875,-0.982666,-0.1479492,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009745923,-0.00524782,-0.01449393,-0.04150391,-0.9837646,-0.1484375,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005497482,-0.003748283,-0.007996337,-0.04296875,-0.980835,-0.1486816,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024531,-0.009745536,-0.0207405,-0.04467773,-0.9814453,-0.1506348,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009149937,-0.01203333,-0.02645027,-0.04406738,-0.9780273,-0.1518555,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01251389,-0.01418626,-0.03152501,-0.0435791,-0.984375,-0.1541748,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007746452,-0.008246223,-0.0172421,-0.04211426,-0.987915,-0.152832,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01824238,-0.01549353,-0.03023733,-0.04211426,-1.005127,-0.145752,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01674302,-0.01374421,-0.02274044,-0.04443359,-1.016724,-0.1436768,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006458449,-0.003229225,-0.00415186,-0.04223633,-1.026489,-0.1385498,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009572802,-0.003594612,0.001249529,-0.0435791,-1.030151,-0.1359863,0,0,0,0,0,0
