Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1172013,-0.1491879,0.1629323,-0.0526123,-1.040405,-0.1159668,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1349436,-0.1679298,0.2061636,-0.06018066,-1.016357,-0.1104736,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1212563,-0.1810382,0.2512581,-0.05371094,-0.9803467,-0.1138916,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04359838,-0.1010375,0.1455586,-0.05517578,-0.958252,-0.1297607,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06552702,-0.2387345,0.3278082,-0.07788086,-0.9543457,-0.1296387,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05470964,-0.2560176,0.3361982,-0.09240723,-0.9454346,-0.118042,0,0,0,0,0,0
0.05999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02198993,-0.1414352,0.1711716,-0.09997559,-0.9407959,-0.119873,0,0,0,0,0,0
0.06999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01574279,-0.1431844,0.1644247,-0.1055908,-0.9417725,-0.123291,0,0,0,0,0,0
0.07999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01612773,-0.2804192,0.2856283,-0.1206055,-0.9505615,-0.1105957,0,0,0,0,0,0
0.08999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01466685,-0.2758635,0.24851,-0.1408691,-0.9603271,-0.1092529,0,0,0,0,0,0
0.09999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009227169,-0.1294111,0.09296374,-0.1514893,-0.9725342,-0.1137695,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01038057,-0.1238747,0.07289464,-0.1588135,-0.980957,-0.1094971,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007150426,-0.1146375,0.05535813,-0.1604004,-0.9798584,-0.1098633,0,0,0,0,0,0
