Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,-1,-0.1690417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007324219,-0.9632568,-0.241333,0,0,0,0,0,0
0.005,-1,-0.1927661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08746707,0.02798946,-0.05722845,0.07348633,-0.9354248,-0.3881836,0,0,0,0,0,0
0.01,-1,-0.2006854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1035156,-0.9342041,-0.4156494,0,0,0,0,0,0
0.015,-1,-0.2086106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1516113,-0.9415283,-0.4470215,0,0,0,0,0,0
0.02,-1,-0.2165419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1711426,-0.9545898,-0.3756104,0,0,0,0,0,0
0.025,-1,-0.2165419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05065918,-0.9573975,-0.3682861,0,0,0,0,0,0
0.03,-1,-0.2165419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03161621,-0.9522705,-0.3537598,0,0,0,0,0,0
0.035,-1,-0.2165419,-0.01522274,-0.0058549,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05053711,-0.9644775,-0.3371582,0,0,0,0,0,0
0.04,-1,-0.2165419,-0.04769778,-0.02225896,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05310059,-0.9036865,-0.3376465,0,0,0,0,0,0
0.04499999,-1,-0.2165419,-0.1249879,-0.0826191,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1339496,0.04923147,0.04373353,0.1246338,-0.8509521,-0.4217529,0,0,0,0,0,0
0.04999999,-1,-0.2165419,-0.1589688,-0.119838,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.01220703,-0.8609619,-0.1557617,0,0,0,0,0,0
0.05499999,-1,-0.2165419,-0.1786224,-0.1626264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.06140137,-0.8449707,-0.3358154,0,0,0,0,0,0
0.05999999,-1,-0.2086106,-0.2071187,-0.2551463,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1033352,0.06181658,0.05881802,0.1206055,-0.8377686,-0.4118652,0,0,0,0,0,0
0.06499999,-1,-0.2086106,-0.2174345,-0.3119713,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1877441,-0.847168,-0.5327148,0,0,0,0,0,0
0.06999999,-1,-0.1927661,-0.2023498,-0.3500973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.239502,-0.8254395,-0.6612549,0,0,0,0,0,0
0.075,-1,-0.1690417,-0.1220497,-0.4255248,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1472168,-0.7585449,-0.6809082,0,0,0,0,0,0
0.08,-1,-0.1690417,-0.06441572,-0.4848131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1057129,-0.7314453,-0.6896973,0,0,0,0,0,0
0.085,-1,-0.1611441,0.0692353,-0.6595572,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.01549417,-0.04973128,0.06522544,0.1694336,-0.715332,-0.7158203,0,0,0,0,0,0
0.09,-1,-0.1611441,0.124467,-0.7807474,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1661377,-0.7384033,-0.6512451,0,0,0,0,0,0
0.09500001,-1,-0.1611441,0.1975608,-0.9025819,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1655273,-0.7658691,-0.6199951,0,0,0,0,0,0
0.1,-1,-0.1611441,0.3283107,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.04724121,-0.9171143,-0.3254395,0,0,0,0,0,0
0.105,-1,-0.1611441,0.4172379,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.02331543,-0.8914795,-0.3798828,0,0,0,0,0,0
0.11,-1,-0.1611441,0.5707892,-0.9779255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0288349,-0.05836185,0.07381735,-0.03271484,-0.8294678,-0.4821777,0,0,0,0,0,0
0.115,-1,-0.1611441,0.6274477,-0.9551592,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.04077148,-0.8140869,-0.5010986,0,0,0,0,0,0
0.12,-1,-0.1611441,0.6845161,-0.9327032,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.1256104,-0.8222656,-0.4176025,0,0,0,0,0,0
0.125,-1,-0.1611441,0.7323431,-0.892418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03223523,-0.07521556,0.06097208,-0.1571045,-0.8787842,-0.3752441,0,0,0,0,0,0
