Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0.5072563,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,-1.059082,-0.1888428,0,0,0,0,0,0
0.005,0.5072563,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04772814,-0.006497024,-0.003748283,0.01904297,-1.008179,-0.1889648,0,0,0,0,0,0
0.01,0.5072563,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02124023,-0.9929199,-0.2034912,0,0,0,0,0,0
0.015,0.5072563,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01818848,-0.9862061,-0.2185059,0,0,0,0,0,0
0.02,0.5067592,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04174926,0.00415186,-0.005997131,0.02478027,-0.9777832,-0.213501,0,0,0,0,0,0
0.025,0.5072563,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222168,-0.9749756,-0.2248535,0,0,0,0,0,0
0.03,0.5154955,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01635742,-0.9669189,-0.2355957,0,0,0,0,0,0
0.035,0.5154955,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01757813,-0.9553223,-0.2344971,0,0,0,0,0,0
0.04,0.5154955,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02270508,-0.9627686,-0.2391357,0,0,0,0,0,0
0.04499999,0.523744,-1,0.03114187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02824167,0.01549543,-0.003748894,0.01074219,-0.9569092,-0.2495117,0,0,0,0,0,0
0.04999999,0.523744,-1,0.06805075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003662109,-0.9464111,-0.2528076,0,0,0,0,0,0
0.05499999,0.523744,-1,0.1049596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003173828,-0.9483643,-0.258667,0,0,0,0,0,0
0.05999999,0.5320019,-1,0.1787774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01960601,0.01061031,0.00207593,0.006225586,-0.9611816,-0.2714844,0,0,0,0,0,0
0.06499999,0.531496,-1,0.2249135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01013184,-0.9715576,-0.2675781,0,0,0,0,0,0
0.06999999,0.540269,-1,0.2618322,-0.002756128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01245117,-0.9725342,-0.2674561,0,0,0,0,0,0
0.075,0.5397605,-1,0.3356473,-0.00302385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01245117,-0.9737549,-0.2630615,0,0,0,0,0,0
0.08,0.5480344,-1,0.3726051,-0.009393405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01391602,-0.9761963,-0.2587891,0,0,0,0,0,0
0.085,0.5563178,-1,0.4373835,-0.02302018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01199451,0,0.02748741,0.02478027,-0.9692383,-0.2626953,0,0,0,0,0,0
0.09,0.5646105,-1,0.4744068,-0.03028129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189209,-0.963623,-0.2689209,0,0,0,0,0,0
0.09500001,0.5646105,-1,0.5022222,-0.03758125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009155273,-0.960083,-0.262207,0,0,0,0,0,0
0.1,0.5806994,-1,0.5488917,-0.05943414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01013184,-0.9733887,-0.2567139,0,0,0,0,0,0
0.105,0.5890183,-1,0.5767347,-0.06722675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005126953,-0.9752197,-0.2529297,0,0,0,0,0,0
0.11,0.5884867,-0.9968243,0.6048414,-0.08231569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003051758,-0.973877,-0.2519531,0,0,0,0,0,0
0.115,0.6046099,-0.9889976,0.6513395,-0.09824675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001586914,-0.9750977,-0.2462158,0,0,0,0,0,0
0.12,0.6046099,-0.9889976,0.6608152,-0.1058765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006713867,-0.9736328,-0.2445068,0,0,0,0,0,0
0.125,0.6207611,-0.981203,0.6889598,-0.1215811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006247139,0,0.02673776,-0.006835938,-0.9744873,-0.2349854,0,0,0,0,0,0
0.13,0.6285701,-0.9728824,0.6981317,-0.121896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002441406,-0.9758301,-0.237793,0,0,0,0,0,0
0.135,0.6369415,-0.9734389,0.7076192,-0.1296684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002563477,-0.9840088,-0.2373047,0,0,0,0,0,0
0.14,0.6525872,-0.956861,0.7167883,-0.1299875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007246681,0.001749199,0.02049061,-0.006103516,-0.9853516,-0.2340088,0,0,0,0,0,0
0.145,0.6688248,-0.9491705,0.7259591,-0.1303003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01000977,-0.9880371,-0.2415771,0,0,0,0,0,0
0.15,0.6766679,-0.9409287,0.7259591,-0.1303003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01367188,-0.9876709,-0.2363281,0,0,0,0,0,0
0.155,0.6923701,-0.9244941,0.7262768,-0.1378064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01014989,0.003690868,0.01453279,-0.01647949,-0.986084,-0.2407227,0,0,0,0,0,0
0.16,0.7008187,-0.9250807,0.7259591,-0.1303003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201416,-0.9989014,-0.2338867,0,0,0,0,0,0
0.165,0.7165664,-0.9087183,0.7259591,-0.1303003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02172852,-1.005981,-0.2237549,0,0,0,0,0,0
0.17,0.7323431,-0.892418,0.7259591,-0.1303003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02978516,-1.014282,-0.2104492,0,0,0,0,0,0
0.175,0.7481521,-0.8761782,0.7256573,-0.1228036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03308105,-1.002686,-0.2094727,0,0,0,0,0,0
0.18,0.7560699,-0.8680802,0.7070084,-0.1147501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03930664,-0.9929199,-0.2080078,0,0,0,0,0,0
0.185,0.7719339,-0.851927,0.6694441,-0.09145411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006713867,-0.9865723,-0.2061768,0,0,0,0,0,0
0.19,0.7878387,-0.8358289,0.6413675,-0.07609445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007446289,-0.9781494,-0.2242432,0,0,0,0,0,0
0.1949999,0.7958074,-0.8277996,0.6133224,-0.06097358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03515625,-0.9693604,-0.2255859,0,0,0,0,0,0
0.1999999,0.8191673,-0.7951917,0.5482978,-0.03841577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008544922,-0.9648438,-0.2438965,0,0,0,0,0,0
0.2049999,0.8271842,-0.7872236,0.5203739,-0.02412329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01293945,-0.9508057,-0.2541504,0,0,0,0,0,0
