Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,-0.5884867,0.9968243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08021326,0.02823707,-0.01999084,0.08325195,-0.9718018,-0.3825684,0,0,0,0,0,0
0.005,-0.6525872,0.956861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08520508,-0.9527588,-0.3875732,0,0,0,0,0,0
0.01,-0.7719339,0.851927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1339387,0.02623798,-0.007996337,0.08105469,-0.8834229,-0.3994141,0,0,0,0,0,0
0.015,-0.8271842,0.7872236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08691406,-0.8830566,-0.4151611,0,0,0,0,0,0
0.02,-0.8830822,0.7232483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08557129,-0.8679199,-0.4224854,0,0,0,0,0,0
0.025,-0.9690174,0.5702448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1322002,0.01474445,0.01324501,0.09875488,-0.8409424,-0.4230957,0,0,0,0,0,0
0.03,-1,0.4898192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1082764,-0.8485107,-0.4355469,0,0,0,0,0,0
0.035,-1,0.4172379,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1044922,-0.8582764,-0.4348145,0,0,0,0,0,0
0.04,-1,0.2642672,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07409668,-0.9072266,-0.4091797,0,0,0,0,0,0
0.04499999,-1,0.1927661,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06896973,-0.9394531,-0.4182129,0,0,0,0,0,0
0.04999999,-1,0.06669273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1689226,-0.02149016,0.005747368,-0.02246094,-0.878418,-0.1633301,0,0,0,0,0,0
0.05499999,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.09191895,-0.8642578,-0.3238525,0,0,0,0,0,0
