Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,-0.3825584,-0.9662558,-0.1173616,0.1129329,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0513916,-0.833252,-0.3924561,0,0,0,0,0,0
0.01,-0.3592638,-0.9830405,-0.1099989,0.09339525,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08654785,-0.8669434,-0.3266602,0,0,0,0,0,0
0.02,-0.3275254,-0.9904684,-0.08971035,0.0490868,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05456543,-0.8786621,-0.2219238,0,0,0,0,0,0
0.03,-0.2802319,-1,-0.07173301,0.01488798,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.04431152,-0.9445801,-0.2167969,0,0,0,0,0,0
0.04,-0.2483314,-1,-0.04959631,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.01550293,-0.9718018,-0.2839355,0,0,0,0,0,0
0.05,-0.2244794,-1,-0.01315794,-0.0009627763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05688477,-0.9846191,-0.2626953,0,0,0,0,0,0
0.05999999,-0.2165419,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04614258,-1.108887,-0.2467041,0,0,0,0,0,0
0.06999999,-0.2165419,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1174316,-0.9749756,-0.1290283,0,0,0,0,0,0
0.07999999,-0.2165419,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1488037,-1.035522,-0.138916,0,0,0,0,0,0
0.08999999,-0.2086106,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04492188,-1.107178,-0.0826416,0,0,0,0,0,0
