Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,-1,-0.336352,0.3743057,0.248433,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07141113,-0.9472656,-0.08947754,0,0,0,0,0,0
0.01,-1,-0.336352,0.4514081,0.1934606,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07617188,-0.9857178,-0.1071777,0,0,0,0,0,0
0.02,-1,-0.336352,0.5354259,0.1434802,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08996613,-0.005747836,0.03498682,0.06811523,-1.001831,-0.08679199,0,0,0,0,0,0
0.03,-1,-0.336352,0.6054394,0.09672701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09245765,-0.007996337,0.03823249,0.06726074,-1.016479,-0.05981445,0,0,0,0,0,0
0.04,-1,-0.3283107,0.7600923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01867676,-1.05603,0.01867676,0,0,0,0,0,0
0.05,-1,-0.2962267,0.8804235,-0.05766967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03623636,0.008246895,0.02723974,-0.00769043,-1.06543,0.05505371,0,0,0,0,0,0
0.05999999,-1,-0.2802319,0.9636109,-0.07412392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02001953,-1.069092,0.0513916,0,0,0,0,0,0
0.06999999,-1,-0.2642672,1,-0.08240198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06420898,-1.086304,0.04064941,0,0,0,0,0,0
0.07999999,-1,-0.2483314,1,-0.08240198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08196913,0.004248401,-0.01774332,0.01000977,-1.064697,0.02331543,0,0,0,0,0,0
0.08999999,-1,-0.2324234,1,-0.08240198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.09671359,-0.004498306,-0.0294889,0.01306152,-1.015747,-0.02575684,0,0,0,0,0,0
