Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02819824,-0.9382324,-0.05322266,0,0,0,0,0,0
0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01269531,-0.9696045,-0.1953125,0,0,0,0,0,0
0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03039551,-1.074707,-0.1166992,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05224609,-1.126099,-0.01086426,0,0,0,0,0,0
0.01333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04882813,-1.085327,0.001464844,0,0,0,0,0,0
0.01666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01782227,-0.9902344,-0.02453613,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04602051,-0.9468994,-0.0814209,0,0,0,0,0,0
0.02333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02685547,-1.012695,-0.05664063,0,0,0,0,0,0
0.02666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01123047,-1.058228,-0.08093262,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02172852,-1.069214,-0.08752441,0,0,0,0,0,0
0.03333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02823937,0.001499435,0.0007497177,0.01342773,-1.041992,-0.05578613,0,0,0,0,0,0
0.03666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03023862,0.001749341,0.003248777,0.006225586,-1.011841,-0.04077148,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006225586,-1.011841,-0.04077148,0,0,0,0,0,0
0.04333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01782227,-1.003784,-0.06091309,0,0,0,0,0,0
0.04666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02148438,-1.003052,-0.08007813,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01818848,-0.9990234,-0.06091309,0,0,0,0,0,0
0.05333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02246094,-1.00061,-0.05114746,0,0,0,0,0,0
0.05666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02648926,-1.009033,-0.06616211,0,0,0,0,0,0
0.06000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02709961,-1.01355,-0.08081055,0,0,0,0,0,0
0.06333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01855469,-1.012329,-0.05981445,0,0,0,0,0,0
0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05772826,0.002998871,0.003248777,0.0123291,-1.005737,-0.04333496,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06397591,0.00549793,0.003248777,0.01782227,-0.9986572,-0.05395508,0,0,0,0,0,0
0.07333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625196,0.004844691,0.001153498,0.02819824,-0.9852295,-0.06677246,0,0,0,0,0,0
0.07666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02819824,-0.9852295,-0.06677246,0,0,0,0,0,0
0.07999999,0,0,-0.02565748,0.005370171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02282715,-0.9727783,-0.05615234,0,0,0,0,0,0
0.08333332,0,0,-0.07959422,0.01302451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02478027,-0.961792,-0.04321289,0,0,0,0,0,0
0.08666665,0,0,-0.1433508,0.01869793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03186035,-0.9616699,-0.05102539,0,0,0,0,0,0
