Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584708,0.01524245,-0.01549223,0.00793457,-0.9849854,-0.211792,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04872768,0.01999084,-0.009245765,0.009277344,-0.9705811,-0.2080078,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01624388,0.01299511,-0.004248401,0.004150391,-0.956543,-0.2027588,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0007496566,0.01799176,-0.01124485,0.004516602,-0.9624023,-0.230957,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03848388,0.0244898,-0.04623062,-0.005737305,-0.960083,-0.2261963,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00349793,0.03523543,-0.06897147,-0.006225586,-0.9224854,-0.2381592,0,0,0,0,0,0
0.05999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03233257,0.0394833,-0.08456046,-0.03540039,-0.9147949,-0.1680908,0,0,0,0,0,0
0.06999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008496801,0.04848175,-0.08696726,0.0423584,-0.9886475,-0.1729736,0,0,0,0,0,0
0.07999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009822382,0.06060622,-0.145086,0.04577637,-0.9750977,-0.2856445,0,0,0,0,0,0
0.08999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05009377,0.04353933,-0.1410362,0.08032227,-0.9504395,-0.2977295,0,0,0,0,0,0
0.09999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03673318,0.01349382,-0.08146269,0.05456543,-0.9594727,-0.2374268,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03098328,0.01024447,-0.08345497,0.04797363,-0.9541016,-0.2038574,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06722203,0.0254894,-0.1536857,0.05578613,-0.996582,-0.1956787,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08013883,0.02506636,-0.1155858,0.07177734,-1.009399,-0.2075195,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04590517,0.01084192,-0.03298713,0.0793457,-1.037231,-0.2077637,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04244498,0.007612415,-0.01384075,0.07629395,-1.030518,-0.2011719,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04013819,0.003460189,0.001153396,0.07006836,-1.015991,-0.2044678,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1059505,-0.004863124,0.03158141,0.06469727,-0.9942627,-0.2076416,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1404978,-0.01643524,0.03627304,0.06604004,-0.9853516,-0.2109375,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1599267,-0.02873684,0.03248512,0.05932617,-0.9798584,-0.2015381,0,0,0,0,0,0
