Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,-0.4094579,0,0.3730516,-0.02821398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03295898,-1.00061,-0.1999512,0,0,0,0,0,0
0.01,-0.5019299,0.02390142,0.6034793,-0.03213795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267334,-1.001465,-0.1984863,0,0,0,0,0,0
0.02,-0.6129646,0.04659964,0.8709028,-0.02685603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04614258,-0.9937744,-0.1856689,0,0,0,0,0,0
0.03,-0.7612141,0.08624594,1,-0.01960851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1082764,-1.010864,-0.1577148,0,0,0,0,0,0
0.04,-0.8630394,0.1112362,1,-0.01960851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04821777,-1.023804,-0.1246338,0,0,0,0,0,0
0.05,-1,0.1690417,1,-0.01960851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007446289,-1.024414,-0.2369385,0,0,0,0,0,0
0.05999999,-1,0.1927661,1,-0.01960851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04064941,-1.010986,-0.182251,0,0,0,0,0,0
0.06999999,-1,0.1927661,1,-0.01960851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07653809,-1.022339,-0.1488037,0,0,0,0,0,0
0.07999999,-1,0.1927661,1,-0.01960851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07336426,-1.047363,-0.1553955,0,0,0,0,0,0
0.08999999,-1,0.1927661,1,-0.02745281,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.07021784,-0.005747368,-0.00224897,-0.04541016,-1.002563,-0.1950684,0,0,0,0,0,0
0.09999999,-1,0.1927661,1,-0.01960851,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.03210449,-0.9796143,-0.2196045,0,0,0,0,0,0
0.11,-1,0.2006854,1,-0.01960851,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.04125977,-0.9437256,-0.2049561,0,0,0,0,0,0
0.12,-1,0.2086106,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.04872768,-0.006247139,-0.03448421,-0.006347656,-0.9542236,-0.2570801,0,0,0,0,0,0
0.13,-1,0.2165419,1,0.035298,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.01416016,-0.9730225,-0.2282715,0,0,0,0,0,0
0.14,-1,0.2244794,1,0.06669273,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.01318359,-0.951416,-0.2607422,0,0,0,0,0,0
0.15,-1,0.2403741,1,0.09026043,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.01245117,-0.9649658,-0.2532959,0,0,0,0,0,0
0.16,-1,0.2483314,1,0.09812176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.01281738,-0.975708,-0.2397461,0,0,0,0,0,0
0.17,-1,0.2642672,1,0.113854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.02149191,-0.0009996236,-0.008246895,-0.02990723,-0.9718018,-0.210083,0,0,0,0,0,0
0.18,-1,0.2722459,1,0.113854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.02929688,-0.9737549,-0.2214355,0,0,0,0,0,0
0.19,-1,0.2802319,1,0.113854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.005493164,-1.021851,-0.2200928,0,0,0,0,0,0
0.2,-1,0.2802319,1,0.113854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04423334,0.01649379,0.02424087,-0.00402832,-1.030518,-0.2043457,0,0,0,0,0,0
0.21,-1,0.2802319,1,0.113854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.009765625,-1.039307,-0.2303467,0,0,0,0,0,0
0.22,-1,0.2882255,0.944972,0.0583316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02001953,-1.028198,-0.2127686,0,0,0,0,0,0
0.23,-1,0.2962267,0.8154728,0.01137869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007746452,0.01324393,0.006996796,-0.046875,-0.993042,-0.1850586,0,0,0,0,0,0
0.24,-1,0.2962267,0.7416401,-0.003726835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05603027,-0.987915,-0.2224121,0,0,0,0,0,0
0.25,-1,0.2962267,0.667886,-0.01824825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1065674,-0.9453125,-0.1395264,0,0,0,0,0,0
0.26,-1,0.2962267,0.6401638,-0.01085023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08581543,-1.074463,-0.1309814,0,0,0,0,0,0
0.27,-1,0.3202776,0.6032574,-0.01070871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06469727,-1.031494,-0.1994629,0,0,0,0,0,0
0.28,-1,0.3524597,0.5940023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078125,-1.053955,-0.2161865,0,0,0,0,0,0
0.29,-1,0.3605264,0.5943839,0.03915104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06982422,-1.043457,-0.1838379,0,0,0,0,0,0
0.3,-1,0.3847782,0.5953812,0.0748683,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1084503,-0.0172421,-0.02124027,-0.05395508,-1.029785,-0.1828613,0,0,0,0,0,0
0.31,-1,0.4253754,0.6187671,0.1700705,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.009033203,-0.9747314,-0.2509766,0,0,0,0,0,0
0.32,-1,0.4498426,0.63113,0.2152409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.02099609,-0.8439941,-0.2878418,0,0,0,0,0,0
0.33,-1,0.4743927,0.634898,0.2605651,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.06197666,-0.03198795,-0.04273391,-0.01184082,-0.9111328,-0.3249512,0,0,0,0,0,0
0.3399999,-1,0.4985325,0.6355662,0.2681869,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.01916504,-0.9057617,-0.2993164,0,0,0,0,0,0
