Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06494141,-0.9985352,-0.09716797,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06420898,-0.9958496,-0.1004639,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06567383,-0.9940186,-0.1016846,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06530762,-0.9937744,-0.104126,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001384075,-0.001153396,-0.001153396,-0.06896973,-0.9941406,-0.1020508,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0670166,-1.000366,-0.1011963,0,0,0,0,0,0
0.05999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07202148,-1.004272,-0.1029053,0,0,0,0,0,0
0.06999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07385254,-1.007324,-0.1014404,0,0,0,0,0,0
0.07999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07336426,-1.01123,-0.09716797,0,0,0,0,0,0
0.08999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07373047,-1.012085,-0.09814453,0,0,0,0,0,0
0.09999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06970215,-1.012207,-0.1014404,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002998383,-0.0009994608,0.006746361,-0.07226563,-1.011597,-0.09960938,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06994629,-1.011353,-0.09997559,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06628418,-1.010132,-0.1018066,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002998627,-0.001999084,0.0009995422,-0.06835938,-1.013062,-0.1009521,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06933594,-1.015015,-0.1011963,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001499191,-0.002998383,-0.001749057,-0.06884766,-1.017334,-0.09887695,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0006919767,-0.00207593,-0.001845271,-0.06945801,-1.020508,-0.102417,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06921387,-1.017944,-0.09863281,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0009995422,-0.001249428,0.0002498855,-0.06921387,-1.011719,-0.1011963,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0009226355,-0.0009226355,0.00207593,-0.06933594,-1.01123,-0.100708,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06762695,-1.010864,-0.09887695,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002498855,0.002998627,-0.06420898,-1.007324,-0.1010742,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06799316,-1.015259,-0.09753418,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06738281,-1.015503,-0.09545898,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06420898,-1.014526,-0.09509277,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06433105,-1.008423,-0.09399414,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00224897,-0.0004997711,0.0002498855,-0.0657959,-1.002319,-0.09619141,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07055664,-0.9981689,-0.1011963,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06652832,-0.9985352,-0.09899902,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06567383,-0.9995117,-0.09851074,0,0,0,0,0,0
0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06616211,-0.9986572,-0.09790039,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002498855,0.0004997711,0.0009995422,-0.06970215,-1.003296,-0.09802246,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06787109,-1.004517,-0.09667969,0,0,0,0,0,0
0.3399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06420898,-1.00293,-0.09790039,0,0,0,0,0,0
0.3499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06347656,-0.9997559,-0.0994873,0,0,0,0,0,0
