Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0.1009096,0.1747459,-0.3343823,-0.2069986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0793457,-0.9938965,-0.1834717,0,0,0,0,0,0
0.01,0.1248982,0.2046205,-0.3974731,-0.2371478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08154297,-0.9960938,-0.1854248,0,0,0,0,0,0
0.02,0.1412683,0.2243672,-0.4339764,-0.2562853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07946777,-0.9984131,-0.1860352,0,0,0,0,0,0
0.03,0.1495468,0.234196,-0.4705287,-0.2753464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07763672,-1.00354,-0.1861572,0,0,0,0,0,0
0.04,0.1646899,0.2455903,-0.5061976,-0.2867273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003498683,-0.002249153,-0.001749341,-0.07800293,-1.003174,-0.1846924,0,0,0,0,0,0
0.05,0.1801196,0.2568918,-0.5332627,-0.2970523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07666016,-0.9997559,-0.1862793,0,0,0,0,0,0
0.05999999,0.1958043,0.2681012,-0.5691504,-0.3081388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003248512,-0.001749199,0.0007496566,-0.0760498,-0.9943848,-0.1851807,0,0,0,0,0,0
0.06999999,0.2029762,0.2696252,-0.5963356,-0.3182895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07458496,-0.9934082,-0.1883545,0,0,0,0,0,0
0.07999999,0.2117165,0.2792203,-0.6227994,-0.3206127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07556152,-0.9919434,-0.1824951,0,0,0,0,0,0
0.08999999,0.2263689,0.2821859,-0.6323897,-0.3291385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07629395,-0.9869385,-0.1832275,0,0,0,0,0,0
