Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01208496,-1.010132,-0.0880127,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01513672,-1.010498,-0.08850098,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01269531,-1.006226,-0.08813477,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01623535,-1.011597,-0.08862305,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995422,-0.002748741,0.003248512,-0.01635742,-1.007935,-0.08691406,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01757813,-1.008301,-0.08776855,0,0,0,0,0,0
0.05999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01806641,-1.007813,-0.08557129,0,0,0,0,0,0
0.06999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006922819,-0.002538367,-0.0002307606,-0.01867676,-1.012085,-0.09094238,0,0,0,0,0,0
0.07999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01831055,-1.009521,-0.08996582,0,0,0,0,0,0
0.08999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01867676,-1.013306,-0.09082031,0,0,0,0,0,0
0.09999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001749341,-0.0009996236,0.0007497177,-0.01501465,-1.013794,-0.09289551,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01611328,-1.009277,-0.09143066,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01306152,-1.007935,-0.09619141,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995422,-0.001749199,0,-0.01464844,-1.00769,-0.09326172,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01208496,-1.01001,-0.09155273,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01367188,-1.013672,-0.08972168,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002499059,-0.004248401,0.001499435,-0.01428223,-1.011353,-0.0904541,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01574707,-1.012329,-0.08825684,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01940918,-1.009033,-0.08557129,0,0,0,0,0,0
