Timestamp, Left Stick X, Left Stick Y, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01649245,0.01999084,0.05947276,-0.09069824,-1.114868,-0.1730957,0,0,0,0,0,0
0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1029053,-1.775635,-0.04089355,0,0,0,0,0,0
0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.110726,0.008535132,0.1607834,1.235718,-2.159912,0.7584229,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.4335515,0.09545628,0.1249428,-0.262085,-0.2749023,-0.4289551,0,0,0,0,0,0
0.01333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.262085,-0.2749023,-0.4289551,0,0,0,0,0,0
0.01666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.2408447,-0.2491455,-0.482666,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.4803467,-0.697998,0.03588867,0,0,0,0,0,0
0.02333334,-0.0003061539,0.003980001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.2823486,-0.6816406,-0.3282471,0,0,0,0,0,0
0.02666667,-0.005153871,0.05050793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0201416,-0.6864014,-0.7381592,0,0,0,0,0,0
0.03,-0.0100151,0.0786901,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0625,-0.6257324,-0.8106689,0,0,0,0,0,0
0.03333334,-0.01078504,0.08782104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01477051,-0.5997314,-0.8522949,0,0,0,0,0,0
0.03666667,-0.01078504,0.08782104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1586914,-0.7276611,-1.239624,0,0,0,0,0,0
0.04,-0.01078504,0.08782104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2073975,-0.7788086,-1.220215,0,0,0,0,0,0
0.04333334,-0.01078504,0.08782104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0009765625,-0.7142334,-0.677002,0,0,0,0,0,0
0.04666667,-0.009642811,0.05249975,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.1462402,-0.774292,-0.3775635,0,0,0,0,0,0
0.05,-0.001841401,0.007979404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.1021729,-0.9490967,-0.4416504,0,0,0,0,0,0
0.05333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.03710938,-1.025879,-0.4743652,0,0,0,0,0,0
0.05666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.03747559,-0.9729004,-0.3304443,0,0,0,0,0,0
0.06000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.001953125,-1.016357,-0.298584,0,0,0,0,0,0
0.06333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02453613,-1.086182,-0.3608398,0,0,0,0,0,0
0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01624256,-0.1144476,0.01399359,0.01916504,-1.069336,-0.3995361,0,0,0,0,0,0
