,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.53577936,0.5570817,0.15060134,0.3124568,0.02969166,0.009140504,0.018979969,0.072845794,0.7175959,0.08331355
1,0.6784983,0.6499498,0.19811414,0.3810129,0.037663385,0.01404378,0.02217878,0.08514137,0.87803,0.09950921
2,0.8045362,0.72705024,0.23156115,0.439769,0.05614774,0.0172993,0.028956944,0.101268865,1.0125408,0.11703346
3,0.8036059,0.7077944,0.23237322,0.46436062,0.066724844,0.019784786,0.032918237,0.096545674,1.0110397,0.121283665
4,0.7106082,0.78714347,0.24142094,0.45320228,0.06787055,0.019068932,0.030909311,0.093823016,1.009499,0.12706055
5,0.6778839,0.84331065,0.27611515,0.48507804,0.068383045,0.016757574,0.02947122,0.092122175,1.0087185,0.13070427
6,0.5882566,0.8906575,0.35582864,0.5199043,0.06518404,0.015780617,0.025701223,0.084571026,1.0100968,0.13899039
7,0.636923,0.8745881,0.35806832,0.5537686,0.060168486,0.015799943,0.025989342,0.08000879,1.0081381,0.14982986
8,0.6503801,0.8657505,0.35723776,0.5281206,0.06735334,0.015628023,0.027543342,0.07644204,1.0097976,0.1611243
9,0.6331157,0.8504253,0.43124104,0.53971773,0.07117471,0.017095607,0.029573543,0.06952613,1.0092411,0.16848019
10,0.6262278,0.8726293,0.37837663,0.66118586,0.061821442,0.016632166,0.029455077,0.064435,1.0053214,0.17072155
11,0.5864164,0.89635444,0.48578644,0.7257666,0.05478095,0.016785065,0.025337815,0.08732412,1.0041016,0.18049467
12,0.56271654,0.903769,0.53438675,0.76037806,0.04221459,0.017922593,0.023760613,0.083749555,0.99877435,0.18132475
13,0.5270867,0.9198615,0.47687775,0.7440996,0.0315444,0.016658649,0.020764364,0.08522216,0.99824464,0.18548419
14,0.54348624,0.90993834,0.48419097,0.65413386,0.044130873,0.018614894,0.021861868,0.09124385,0.99981993,0.21492717
15,0.54399973,0.9154705,0.5100476,0.6010971,0.04742822,0.017818281,0.027472997,0.07045256,1.0239416,0.2118371
16,0.6775106,0.8508578,0.51413405,0.6118096,0.06168769,0.030943537,0.036990874,0.09718965,1.0074975,0.2282224
17,0.7396696,0.8161895,0.6075857,0.6360196,0.06567563,0.034939207,0.039230492,0.11997758,1.0135164,0.22629389
18,0.74552035,0.81798524,0.6155893,0.6534195,0.06667665,0.03447044,0.037609138,0.13219151,1.0136186,0.20148487
19,0.70636165,0.85207117,0.5279876,0.65842736,0.06595659,0.035004668,0.046762407,0.14933729,0.98730844,0.22038195
