,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.49723473,0.5473588,0.24544868,0.41029736,0.0,0.0,0.0,0.0,0.5484353,0.046015184,0.011062269,0.012960744,0.07869654,0.7200123,0.09389981
1,0.4973798,0.6017488,0.24563558,0.41237414,0.1875,0.0,0.0,0.0,0.57960117,0.04668269,0.011125656,0.013058974,0.08047641,0.7644251,0.099791735
2,0.49743626,0.65161467,0.24563558,0.41237414,0.293151,0.0,0.0,0.0,0.6155536,0.047215912,0.011238471,0.013102005,0.08168928,0.803619,0.10413288
3,0.508704,0.69556487,0.24563558,0.4123741,0.3365728,0.0,0.0,0.0,0.6434769,0.048877247,0.011414531,0.014667036,0.08375142,0.84226805,0.109536454
4,0.53011787,0.73240614,0.24563558,0.41237414,0.375,0.0,0.0,0.0,0.6643841,0.049754865,0.011780596,0.016523594,0.08868237,0.8800152,0.113086745
5,0.5769124,0.74774146,0.24563558,0.41237414,0.4098399,0.0,0.0,0.0,0.6875,0.051232602,0.0119308205,0.017355498,0.09397838,0.9160541,0.117812976
6,0.6178551,0.7701774,0.24881533,0.41681233,0.4098399,0.0,0.0,0.0,0.7153452,0.052125137,0.012400029,0.020257331,0.09874342,0.9501549,0.12188688
7,0.65672255,0.79212314,0.26538625,0.45671183,0.4098399,0.0,0.0,0.0,0.7421464,0.052650414,0.012792753,0.020395959,0.101232104,0.9840518,0.12467568
8,0.6924056,0.81459624,0.2838407,0.5162315,0.4098399,0.0,0.0,0.0,0.7629097,0.053199824,0.012933625,0.020583384,0.10386108,1.0173119,0.12739931
9,0.7233233,0.7922685,0.28257054,0.47985306,0.4098399,0.0,0.0,0.0,0.7551904,0.05358904,0.013495933,0.021969564,0.104008354,1.0159467,0.12740614
10,0.7188088,0.78377473,0.28814426,0.4865652,0.4098399,0.0,0.0,0.0,0.7473913,0.05207111,0.014342415,0.023340542,0.10251301,1.0162584,0.12958905
11,0.6760008,0.81730515,0.28694957,0.48350987,0.4098399,0.16535945,0.0,0.0,0.7234898,0.05080933,0.015354901,0.023702301,0.10068642,1.0167402,0.12555528
12,0.67737997,0.8113899,0.27045158,0.46061483,0.4098399,0.19764236,0.0,0.0,0.69597054,0.045133438,0.015735006,0.023804728,0.09689991,1.0148813,0.12153919
13,0.6771402,0.82091135,0.29251313,0.49377584,0.4098399,0.19764236,0.0,0.0,0.7043392,0.04270022,0.016291786,0.023590505,0.09658943,1.014365,0.1204964
14,0.7110682,0.79863405,0.27952516,0.49184108,0.4098399,0.19764236,0.0,0.0,0.70156074,0.043595217,0.016212214,0.023501901,0.0993059,1.0132473,0.12050132
15,0.7523949,0.7637628,0.2064654,0.47613963,0.4098399,0.19764236,0.0,0.0,0.69877124,0.04257143,0.015221239,0.02281238,0.099257894,1.0136622,0.117603764
16,0.7721479,0.7527594,0.22724165,0.43553597,0.4098399,0.19764236,0.0,0.0,0.69597054,0.051234998,0.017061237,0.027702795,0.10031655,1.0131212,0.119467996
17,0.7926718,0.7374594,0.23127294,0.4375134,0.36443448,0.19764236,0.0,0.0,0.6931585,0.056078017,0.017337881,0.02887545,0.10153606,1.0121284,0.11724823
18,0.8170576,0.7174466,0.23207928,0.44719547,0.286411,0.19764236,0.0,0.0,0.6875,0.057059716,0.017323328,0.030122418,0.10204412,1.0120643,0.11624317
