,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
0,0.4172379,-1.0,-0.2227076,0.5337911,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02685547,-0.9006348,0.07568359
1,0.4253754,-1.0,-0.2141748,0.4453475,0.0,0.0,0.0,0.0,1.0,0.1959262,0.04848175,0.003748589,-0.03320313,-1.075439,0.02661133
2,0.4253754,-1.0,-0.2091608,0.4017215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06408691,-1.130371,0.03283691
3,0.4172379,-1.0,-0.1753988,0.3539868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09765625,-1.225464,-0.0748291
4,0.3766855,-1.0,-0.128013,0.3465718,0.0,0.0,0.0,0.0,0.0,0.04598268,0.0,-0.009746331,-0.21521,-1.02478,0.03662109
5,0.336352,-1.0,-0.09633461,0.3511552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.199585,-1.031616,0.09387207
6,0.2722459,-1.0,-0.05079426,0.4842386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07885742,-1.166748,0.2092285
7,0.2086106,-1.0,0.03330223,0.7141477,0.0,0.0,0.0,0.0,0.0,-0.09471434,-0.01399473,-0.01399473,-0.1242676,-1.185059,0.07666016
8,0.1690417,-1.0,0.0965137,0.8995077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1138916,-1.053467,0.06591797
9,0.09812176,-1.0,0.1769445,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1567383,-0.6022949,0.1589355
10,0.02745281,-1.0,0.1848525,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02648926,-1.004272,0.04785156
11,-0.1217254,-1.0,0.1848525,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07580566,-0.958374,-0.1971436
12,-0.2882255,-1.0,0.1848525,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03564453,-0.9439697,-0.1256104
13,-0.3847782,-1.0,0.1927661,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009033203,-0.9969482,-0.1254883
14,-0.5052344,-0.9826212,0.2006854,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01208496,-1.013428,-0.05615234
15,-0.5923551,-0.9263003,0.1843599,0.9845603,0.0,0.0,0.0,0.0,1.0,0.03248777,-0.02399097,0.01749341,0.07128906,-0.90979,-0.06689453
16,-0.6323221,-0.9027491,0.1336267,0.8361214,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003540039,-0.8166504,0.08203125
17,-0.648488,-0.8951521,0.05967038,0.5580935,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02514648,-1.006592,0.0546875
18,-0.6562817,-0.8869745,-0.01316958,0.2344186,0.0,0.0,0.0,0.0,0.0,0.1414352,0.05972265,0.04772814,-0.06188965,-1.051758,-0.00378418
19,-0.6634662,-0.8700544,-0.01293234,0.04675537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0769043,-1.199219,-0.08312988
20,-0.6959809,-0.8550623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2318115,-1.023193,0.02246094
21,-0.728039,-0.8314762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2491455,-1.125977,0.0390625
22,-0.7438167,-0.8154141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04173768,-0.0199941,-0.01174653,-0.1588135,-1.060181,0.102417
23,-0.7438167,-0.8154141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0534668,-1.205566,0.2121582
24,-0.7438167,-0.8154141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1094971,-1.111938,0.06896973
25,-0.7675676,-0.7914298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2350829,0.01753317,0.006920988,-0.07434082,-1.007568,0.06469727
26,-0.790792,-0.7590014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1306152,-0.7858887,0.08325195
27,-0.8382716,-0.7031947,-0.01293234,0.04675537,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09020996,-0.9163818,-0.2019043
28,-0.8700544,-0.6634662,-0.01754869,0.05732573,0.0,0.0,0.0,0.0,1.0,-0.07336247,-0.02514626,-0.03183654,0.03161621,-0.8394775,-0.1942139
29,-0.8857571,-0.6394928,-0.02385956,0.06153254,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05029297,-0.855957,-0.164917
30,-0.9021508,-0.6239545,-0.0009635704,0.001298725,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05810547,-0.9077148,-0.1512451
31,-0.9103752,-0.6161929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0378418,-0.9709473,-0.1484375
32,-0.925144,-0.5757334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01525879,-0.8421631,0.01293945
33,-0.956296,-0.5118763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01586914,-0.9621582,0.0279541
34,-0.9795809,-0.4560802,-0.07150721,-0.03940193,0.0,0.0,0.0,0.0,0.0,0.1784328,0.03173805,0.07772074,-0.06933594,-1.078735,0.04553223
35,-0.9866543,-0.423984,-0.1048671,-0.06673362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1224365,-1.2229,-0.06359863
36,-1.0,-0.3843456,-0.107327,-0.0722018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2745361,-1.069824,-0.008789063
37,-1.0,-0.3762585,-0.107327,-0.0722018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1862793,-1.094971,0.102417
38,-1.0,-0.3762585,-0.08349611,-0.02277167,0.0,0.0,0.0,0.0,0.0,-0.04048805,0.00199941,0.0142458,-0.1187744,-1.224609,0.2277832
39,-1.0,-0.3605264,-0.04229435,0.006299159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1375732,-1.179688,0.04907227
40,-1.0,-0.3444016,-0.05523647,0.03982164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08532715,-1.218384,0.2408447
41,-1.0,-0.3122526,-0.08720156,0.107481,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1774902,-0.833252,0.3166504
42,-1.0,-0.2882255,-0.1172079,0.2262385,0.0,0.0,0.0,0.0,1.0,-0.1790071,0.03091102,-0.04867332,-0.001586914,-1.021851,-0.1220703
43,-1.0,-0.2882255,-0.1480319,0.3496073,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03894043,-0.8536377,-0.2244873
