,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.5303697,0.48276088,0.42071098,0.5266922,0.0,0.0,0.0,0.0,0.0,0.61288846,0.31336662,0.6483829,0.23811379,0.67264616,0.26980206
1,0.5613276,0.5295436,0.43347904,0.5513502,0.0,0.0,0.0,0.0,0.0,0.71784294,0.32537356,0.67274207,0.24275652,0.7142184,0.276526
2,0.5845873,0.5807687,0.43949965,0.5799491,0.0,0.0,0.0,0.0,0.0,0.7495367,0.34719485,0.6881128,0.2457424,0.791538,0.27800515
3,0.63390726,0.5918169,0.44219586,0.6043843,0.0,0.0,0.0,0.0,0.0,0.76454586,0.34848535,0.7182959,0.26428145,0.8148577,0.28240782
4,0.65112036,0.63635755,0.4568543,0.65307564,0.0,0.0,0.0,0.0,0.0,0.77386564,0.37766755,0.7683459,0.26848656,0.85645324,0.28536204
5,0.6827236,0.66096693,0.51006275,0.6659717,0.0,0.0,0.0,0.0,0.0,0.77983636,0.3821978,0.78242844,0.277123,0.91067404,0.30105662
6,0.7022673,0.6930831,0.54363155,0.6774489,0.0,0.0,0.0,0.0,0.0,0.81107146,0.39823037,0.8002519,0.29172516,0.91765386,0.32480162
7,0.7274792,0.7250684,0.5561,0.705743,0.0,0.0,0.0,0.0,0.0,0.81920326,0.44487917,0.8260911,0.2957467,0.9611368,0.3473967
8,0.754378,0.74912345,0.5895449,0.7253805,0.0,0.0,0.0,0.0,0.0,0.82142663,0.46038783,0.8271634,0.31334192,0.9819669,0.352747
9,0.7300714,0.7568278,0.5462594,0.73399013,0.0,0.0,0.0,0.0,0.0,0.7652841,0.4612692,0.8302617,0.3075816,0.9997572,0.3309147
10,0.713878,0.76613945,0.56879276,0.7104704,0.0,0.0,0.0,0.0,0.0,0.6491198,0.4589366,0.79389423,0.30753592,1.0078399,0.31743604
11,0.71364874,0.7625717,0.55410564,0.7233214,0.0,0.0,0.0,0.0,0.0,0.64580005,0.42009023,0.7888454,0.3241078,0.97768456,0.31334502
12,0.7176157,0.7505065,0.55744046,0.7129985,0.0,0.0,0.0,0.0,0.0,0.6425415,0.4220637,0.78573316,0.32770306,0.9825036,0.3162679
13,0.74139637,0.727311,0.57248956,0.70771253,0.0,0.0,0.0,0.0,0.0,0.6448703,0.41761434,0.76265836,0.32904327,0.9862757,0.31784186
14,0.72235954,0.7322539,0.59511113,0.69269204,0.0,0.0,0.0,0.0,0.0,0.63775426,0.40401953,0.6848897,0.32464632,0.97840965,0.32323363
15,0.74338573,0.72553945,0.6131338,0.66491306,0.0,0.0,0.0,0.0,0.0,0.65022,0.38162175,0.5880442,0.2906657,0.99143666,0.32203874
16,0.7762064,0.7408913,0.6170453,0.659705,0.0,0.0,0.0,0.0,0.0,0.65538704,0.3845128,0.56838626,0.28924593,0.99121857,0.3212384
17,0.77883023,0.73381937,0.6398781,0.64380074,0.0,0.0,0.0,0.0,0.0,0.60064787,0.39334285,0.5480736,0.30235767,0.99804574,0.33360744
18,0.78502685,0.71928006,0.6544049,0.6384002,0.0,0.0,0.0,0.0,0.0,0.5636373,0.37951416,0.52970093,0.31375766,0.9670685,0.35198736
