,Left Stick X RMS,Left Stick Y RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.6589555,0.5035219,0.4366577,0.11439625,0.375,0.0,0.0,0.0,0.36443448,0.016597675,0.011900824,0.013403147,0.038390048,0.7129856,0.15479189
1,0.6958556,0.5361501,0.4369162,0.114433564,0.375,0.0,0.0,0.0,0.44194174,0.021510825,0.014214777,0.013835255,0.05182616,0.74935526,0.1753625
2,0.7307924,0.567239,0.4372404,0.11456632,0.375,0.0,0.0,0.0,0.5077524,0.02175504,0.01425431,0.013940803,0.053894978,0.78405356,0.18615115
3,0.76413345,0.5967103,0.44340965,0.11962263,0.375,0.0,0.0,0.0,0.5659616,0.02211982,0.014527397,0.014330555,0.053983193,0.8246196,0.19501136
4,0.7950372,0.6258818,0.4591845,0.12138634,0.375,0.0,0.0,0.0,0.61871845,0.022123298,0.0145281665,0.014384215,0.05422305,0.8600005,0.20423046
5,0.81388927,0.6662026,0.46617597,0.12564085,0.375,0.0,0.0,0.0,0.6673174,0.022195527,0.014541138,0.014551919,0.054794848,0.8966425,0.21143533
6,0.81783795,0.7115658,0.46620518,0.1262269,0.375,0.0,0.0,0.0,0.71260965,0.022834076,0.014556685,0.014553142,0.055004817,0.92932755,0.22071664
7,0.8181095,0.75420547,0.46864495,0.25237614,0.375,0.0,0.0,0.0,0.7551904,0.02463262,0.014632834,0.014797774,0.0563894,0.95614237,0.23173611
8,0.82627994,0.7942073,0.47322065,0.35523754,0.375,0.0,0.0,0.0,0.79549515,0.026317015,0.014655465,0.015011181,0.056698278,0.9885595,0.23762095
9,0.8321022,0.78836435,0.45212334,0.3759515,0.375,0.0,0.0,0.0,0.79549515,0.025731929,0.01168117,0.01461437,0.05833441,0.9902267,0.2331713
10,0.833397,0.78513104,0.45212334,0.37833834,0.375,0.0,0.0,0.0,0.833854,0.025014224,0.012093927,0.015514606,0.05711984,0.9890832,0.23761177
11,0.8091567,0.7727729,0.45747876,0.38192666,0.375,0.0,0.0,0.0,0.8267973,0.024489302,0.011766931,0.016363373,0.05743053,0.9883244,0.23619525
12,0.80523264,0.7620363,0.51356167,0.38164726,0.375,0.0,0.0,0.0,0.8291562,0.022097725,0.01172944,0.01751133,0.059203357,0.991144,0.2315569
13,0.8052779,0.7465526,0.5711791,0.38278353,0.3307189,0.0,0.0,0.0,0.8660254,0.022017764,0.012717629,0.016198795,0.058886055,0.9883341,0.23753585
14,0.8064078,0.73207396,0.6234946,0.38308567,0.21650635,0.0,0.0,0.0,0.8705243,0.022573797,0.012533787,0.016221588,0.058607962,0.98972285,0.23864092
15,0.8103237,0.7135958,0.67174816,0.383685,0.0,0.0,0.0,0.0,0.88609046,0.02530637,0.012374848,0.016335538,0.057390153,0.9899115,0.23897888
16,0.8151124,0.6987014,0.7163712,0.39592278,0.0,0.0,0.0,0.0,0.9121575,0.026781486,0.011881365,0.016711473,0.055145167,0.9833706,0.24855796
17,0.8133617,0.6953101,0.73344064,0.45735723,0.0,0.0,0.0,0.0,0.881671,0.024997706,0.011431613,0.01658264,0.043703295,0.98657453,0.24002755
18,0.80469054,0.70366603,0.7342424,0.521196,0.0,0.0,0.0,0.0,0.872765,0.025951289,0.011718663,0.01660851,0.042127457,0.9890103,0.24525453
19,0.7962141,0.71339774,0.7309406,0.5484562,0.0,0.0,0.0,0.0,0.872765,0.027199551,0.012617243,0.019187694,0.04646955,0.98005176,0.25703892
20,0.79013824,0.7208924,0.7215497,0.55146825,0.0,0.0,0.0,0.0,0.8385255,0.028749086,0.012830632,0.020171532,0.051638033,0.9870069,0.25329018
21,0.78593063,0.7259539,0.7304885,0.5878838,0.0,0.0,0.0,0.0,0.8291562,0.03419127,0.014962639,0.020385057,0.056291573,0.9900407,0.25226265
22,0.792413,0.7259539,0.7381296,0.6268782,0.0,0.0,0.0,0.0,0.8291562,0.03396204,0.015981153,0.020674381,0.06796538,0.9807829,0.27301523
23,0.8082777,0.72280914,0.75123703,0.59445435,0.0,0.0,0.0,0.0,0.7930361,0.033308487,0.016156511,0.02190536,0.06784164,0.98887444,0.2694587
24,0.81912315,0.71352065,0.7857223,0.55133885,0.0,0.0,0.0,0.0,0.7756046,0.03276082,0.016285041,0.022277348,0.07003961,0.9900805,0.27283588
25,0.8143463,0.71394724,0.79804873,0.52901834,0.0,0.0,0.0,0.0,0.7756046,0.03289967,0.016332082,0.02200195,0.07009825,0.98426795,0.28697255
26,0.80220354,0.72434497,0.79676527,0.5370549,0.0,0.0,0.0,0.0,0.7551904,0.033351775,0.015759824,0.021410495,0.06936684,0.9831913,0.28723773
27,0.81338125,0.74758977,0.7813222,0.56825715,0.0,0.0,0.0,0.0,0.7551904,0.033610605,0.015584184,0.020530712,0.07107645,0.98232526,0.29209352
