,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.5125656,0.57465297,0.50305563,0.5079445,0.0,0.0,0.0,0.0,0.0,0.46683308,0.32663935,0.4937706,0.1917823,0.72575307,0.2674694
1,0.5667951,0.68948704,0.54662204,0.5749461,0.0,0.0,0.0,0.0,0.0,0.47234,0.46428692,0.58796674,0.23644024,0.82926714,0.33155504
2,0.64425343,0.7557734,0.6162829,0.6516482,0.0,0.0,0.0,0.0,0.0,0.48230055,0.47631064,0.61081153,0.3000024,0.8831262,0.33801886
3,0.6845638,0.795516,0.6474106,0.6712512,0.0,0.0,0.0,0.0,0.0,0.5077649,0.49678397,0.6391097,0.32142064,0.97039855,0.37328628
4,0.6950443,0.81361884,0.7220611,0.6201659,0.0,0.0,0.0,0.0,0.0,0.4740594,0.4608094,0.5580769,0.35974774,0.96485573,0.36730203
5,0.71040857,0.80477035,0.6366632,0.670966,0.0,0.0,0.0,0.0,0.0,0.439152,0.46851477,0.5206014,0.3660933,0.9083935,0.32947853
6,0.752606,0.7627792,0.5746805,0.7333892,0.0,0.0,0.0,0.0,0.0,0.28251362,0.4323829,0.44724742,0.35988492,0.98063064,0.29662383
7,0.7789785,0.7225301,0.6115304,0.7131726,0.0,0.0,0.0,0.0,0.0,0.24869901,0.28319606,0.3063739,0.35347897,0.9329742,0.24980861
8,0.7515846,0.6888725,0.6411916,0.6710186,0.0,0.0,0.0,0.0,0.0,0.22859038,0.23711191,0.29501748,0.31224388,0.95720387,0.27711636
9,0.81636494,0.66245717,0.6530129,0.6453191,0.0,0.0,0.0,0.0,0.0,0.49552938,0.21607839,0.24639642,0.2816381,1.0211273,0.28015164
10,0.8482003,0.6125695,0.64543164,0.6023654,0.0,0.0,0.0,0.0,0.0,0.64923424,0.2724373,0.30058825,0.24764773,0.9446311,0.33979568
11,0.8481698,0.6027643,0.7172755,0.5105924,0.0,0.0,0.0,0.0,0.0,0.6945228,0.28003126,0.2956161,0.24241094,1.0055002,0.38661337
12,0.8064192,0.6695767,0.7342471,0.50389403,0.0,0.0,0.0,0.0,0.0,0.69769603,0.29839236,0.31278962,0.2569691,0.9667241,0.412944
13,0.7971477,0.65005696,0.77782476,0.43932012,0.0,0.0,0.0,0.0,0.0,0.6923109,0.31781,0.31910056,0.2494332,0.9577352,0.43829966
14,0.8177125,0.6813725,0.7697013,0.50618386,0.0,0.0,0.0,0.0,0.0,0.6950168,0.32032967,0.32459632,0.24358204,0.96496975,0.45008543
15,0.78228205,0.7308316,0.7403151,0.6219717,0.0,0.0,0.0,0.0,0.0,0.6152389,0.32276368,0.3153003,0.25308686,0.87289035,0.45257726
16,0.7818883,0.7182613,0.7516781,0.636303,0.0,0.0,0.0,0.0,0.0,0.42424688,0.26741055,0.21960497,0.27386665,0.93035096,0.4341927
