,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
0,0.6996371,0.9075292,0.6196507,0.9634567,0.0,0.0,0.0,0.0,0.0,-0.03248777,-0.4393346,0.9308995,0.1380615,-0.9371338,-0.1069336
1,0.6604159,0.9485974,0.6196507,0.9634567,0.0,0.0,0.0,0.0,0.0,-0.1102045,-0.9368593,1.749519,-0.005249023,-1.088867,-0.01623535
2,0.6035143,0.9712184,0.6112997,0.9628969,0.0,0.0,0.0,0.0,0.0,-0.1391976,-0.4510802,0.8124441,-0.1149902,-1.266602,-0.003540039
3,0.4662001,1.0,0.5304679,0.9931315,0.0,0.0,0.0,0.0,0.0,-0.4924819,-0.8553861,1.446731,-0.1047363,-1.281982,-0.02062988
4,0.3042357,1.0,0.4662001,1.0,0.0,0.0,0.0,0.0,0.0,-0.3371231,-0.4255898,0.6892405,-0.07421875,-1.276978,-0.02478027
5,0.09026043,1.0,0.3766855,1.0,0.0,0.0,0.0,0.0,0.0,-0.7728953,-0.8028829,1.242433,-0.07116699,-1.200073,-0.005004883
6,-0.06669273,1.0,0.2882255,1.0,0.0,0.0,0.0,0.0,0.0,-0.4051305,-0.379638,0.5413402,-0.09057617,-1.134033,-0.03710938
7,-0.2642672,1.0,0.1453634,1.0,0.0,0.0,0.0,0.0,0.0,-0.8022549,-0.6807871,0.8430635,-0.1496582,-1.04895,-0.08911133
8,-0.4009901,1.0,0.035298,1.0,0.0,0.0,0.0,0.0,0.0,-0.822157,-0.6487297,0.7104545,-0.1870117,-0.9842529,-0.1688232
9,-0.5232409,1.0,-0.09026043,1.0,0.0,0.0,0.0,0.0,0.0,-0.3938196,-0.2851194,0.2891176,-0.1986084,-0.873291,-0.2336426
10,-0.6274477,0.9551592,-0.2562958,1.0,0.0,0.0,0.0,0.0,0.0,-0.7326946,-0.4840486,0.4808,-0.2266846,-0.7211914,-0.2927246
11,-0.691781,0.91571,-0.3766855,1.0,0.0,0.0,0.0,0.0,0.0,-0.6744681,-0.4103283,0.3910861,-0.2049561,-0.6413574,-0.3128662
12,-0.7475448,0.8674718,-0.4739094,1.0,0.0,0.0,0.0,0.0,0.0,-0.2881415,-0.1669371,0.1451953,-0.1813965,-0.5682373,-0.3168945
13,-0.8111632,0.8031714,-0.6012593,0.9357346,0.0,0.0,0.0,0.0,0.0,-0.4600573,-0.2661385,0.163181,-0.1712646,-0.5192871,-0.3411865
14,-0.8513149,0.7633857,-0.6972183,0.8725189,0.0,0.0,0.0,0.0,0.0,-0.1851652,-0.09995423,-0.006996796,-0.1800537,-0.5114746,-0.3979492
15,-0.8987648,0.6990393,-0.8725189,0.6972183,0.0,0.0,0.0,0.0,0.0,-0.381841,-0.1444394,-0.2698891,-0.1645508,-0.5114746,-0.3811035
16,-0.9386168,0.6430523,-0.9752428,0.5294175,0.0,0.0,0.0,0.0,0.0,-0.4425473,-0.09095834,-0.5270087,-0.1862793,-0.5093994,-0.3598633
17,-0.9852398,0.5464691,-1.0,0.3122526,0.0,0.0,0.0,0.0,0.0,-0.3879285,-0.003325724,-0.8354682,-0.2678223,-0.4702148,-0.3000488
18,-1.0,0.433522,-1.0,0.1611441,0.0,0.0,0.0,0.0,0.0,-0.196899,0.06570234,-1.03058,-0.3066406,-0.5515137,-0.2763672
