,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.5518156,0.53859186,0.15669197,0.32886398,0.2338536,0.19764236,0.0,0.0,0.47186464,0.030626062,0.012089839,0.019938476,0.070438676,0.7153825,0.08181119
1,0.5794398,0.53970206,0.15669197,0.32886398,0.2338536,0.19764236,0.0,0.0,0.47186464,0.031112641,0.0125419935,0.020686904,0.071918875,0.73657876,0.082002535
2,0.6058057,0.54281366,0.17224361,0.33729455,0.2338536,0.19764236,0.0,0.0,0.4881406,0.03127914,0.012777701,0.020883195,0.073834576,0.75854886,0.08295152
3,0.63082033,0.55283135,0.1973589,0.37504542,0.2338536,0.19764236,0.0,0.0,0.51916397,0.031400125,0.013215574,0.020884993,0.07464566,0.7784793,0.084201455
4,0.6550502,0.5608907,0.19785617,0.37631837,0.2338536,0.19764236,0.0,0.0,0.51916397,0.033132736,0.013858973,0.020993635,0.07891036,0.8010416,0.08750816
5,0.6784842,0.56476635,0.19958037,0.4082253,0.2338536,0.19764236,0.0,0.0,0.5484353,0.034684684,0.013956092,0.021167591,0.081349246,0.8175912,0.09185527
6,0.70113534,0.56735677,0.1995961,0.4088328,0.2338536,0.19764236,0.0,0.0,0.5484353,0.036612004,0.013959204,0.021244353,0.086059585,0.83982754,0.093750834
7,0.7230773,0.56983423,0.1995961,0.4088328,0.2338536,0.19764236,0.0,0.0,0.572822,0.036612004,0.013959205,0.021244355,0.08635835,0.8561968,0.09651096
8,0.7360285,0.5855467,0.20371592,0.41084963,0.2338536,0.19764236,0.0,0.0,0.5829612,0.044189528,0.016737724,0.026534496,0.088732086,0.87692904,0.0990569
9,0.75019956,0.6029245,0.22653665,0.43354306,0.2338536,0.19764236,0.0,0.0,0.60917467,0.045510776,0.01678547,0.026536928,0.09041337,0.89062387,0.10335066
