,Left Stick X RMS,Left Stick Y RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.54517305,0.5402694,0.53078735,0.23065124,0.0,0.0,0.0,0.0,0.4677072,0.026356753,0.0063158893,0.030442288,0.072039865,0.6326606,0.27026615
1,0.5519986,0.73613244,0.67121047,0.35403258,0.0,0.0,0.0,0.0,0.61237246,0.02885314,0.010007987,0.036342632,0.09576657,0.80889595,0.33692127
2,0.55858535,0.88988256,0.695685,0.46165472,0.0,0.0,0.0,0.0,0.69597054,0.051171403,0.013705802,0.048006,0.10297035,0.9416562,0.37321487
3,0.28614628,0.9906022,0.66806865,0.4637528,0.0,0.0,0.0,0.0,0.69597054,0.06316527,0.014605366,0.04562206,0.09811072,0.98636746,0.34658873
4,0.21832636,1.0,0.45834365,0.41561806,0.0,0.0,0.0,0.0,0.8196798,0.060069453,0.017464144,0.043423783,0.09651633,0.9715916,0.33522046
5,0.2048952,1.0,0.2032198,0.31717396,0.0,0.0,0.0,0.0,0.875,0.062036052,0.01825673,0.042861313,0.08109582,0.9539302,0.35457465
6,0.2427047,0.9986834,0.08859864,0.11319597,0.4506939,0.0,0.0,0.0,0.84779125,0.048108153,0.015931511,0.034250572,0.074777365,0.9564621,0.3507457
7,0.3822805,0.962709,0.071921505,0.08102478,0.6731456,0.0,0.0,0.0,0.9013878,0.040415194,0.017708376,0.030737052,0.059034973,0.9678294,0.3710503
8,0.4550532,0.9376409,0.1646839,0.25469145,0.6846532,0.0,0.0,0.0,0.9013878,0.05061338,0.014520657,0.029014999,0.057062585,0.942666,0.39892927
9,0.47007582,0.93741995,0.21646412,0.5610107,0.6846532,0.0,0.0,0.0,0.9013878,0.056519166,0.014438748,0.030180829,0.04724027,0.93457305,0.38944688
10,0.63841087,0.8443813,0.3171207,0.7514872,0.5153882,0.0,0.0,0.0,0.96824586,0.05848613,0.014238985,0.025023265,0.05858672,0.89308316,0.4763583
11,0.6897257,0.832684,0.34712422,0.83480525,0.125,0.0,0.0,0.0,0.8385255,0.09808738,0.013797891,0.028669996,0.06401105,0.9032101,0.47524875
12,0.6434753,0.86081403,0.42705056,0.80268925,0.0,0.0,0.0,0.0,0.8385255,0.09296767,0.016554149,0.029108927,0.07572634,0.9170806,0.46889272
13,0.69490427,0.81337935,0.5923663,0.69645953,0.0,0.0,0.0,0.0,0.72886896,0.08744105,0.014694357,0.023715118,0.07997276,0.9243236,0.43974322
14,0.6577548,0.8245109,0.69838995,0.5933126,0.0,0.0,0.0,0.0,0.73951,0.09116886,0.015199219,0.024855778,0.07582024,0.95911366,0.37787175
15,0.52381754,0.87749374,0.7511963,0.50577605,0.0,0.0,0.0,0.0,0.8838835,0.036187828,0.019119216,0.022109982,0.06823496,0.94704604,0.38622245
16,0.5417078,0.86991835,0.70043075,0.5169603,0.0,0.0,0.0,0.0,0.8838835,0.039696474,0.019891137,0.02274467,0.071440905,0.95062155,0.38048446
17,0.67548114,0.7802584,0.66551834,0.57950157,0.0,0.0,0.0,0.0,0.9762812,0.039662763,0.021675842,0.025905544,0.071780905,0.9376245,0.41335315
18,0.66133666,0.8239755,0.7054601,0.49411926,0.0,0.0,0.0,0.0,1.0,0.02090636,0.021350814,0.030406252,0.072214305,0.92927575,0.4100961
19,0.78863555,0.7364746,0.7943898,0.51067305,0.0,0.0,0.0,0.0,1.0,0.021076819,0.01698046,0.02956556,0.07606328,0.9238211,0.4169251
20,0.91413426,0.5980133,0.8166732,0.50877655,0.0,0.0,0.0,0.0,1.0,0.01947704,0.016453367,0.030086638,0.062903516,0.9187557,0.42571616
21,0.9155765,0.6050669,0.7406208,0.38541687,0.0,0.0,0.0,0.0,0.91001374,0.041946977,0.014366512,0.027209887,0.06615217,0.952961,0.4057036
22,0.97293556,0.4496444,0.5924795,0.43656263,0.0,0.0,0.0,0.0,0.85695684,0.05274611,0.015541022,0.025127012,0.07428431,0.9489307,0.39593655
23,0.99586785,0.336825,0.35248274,0.37817797,0.0,0.0,0.0,0.0,0.80039054,0.053898294,0.015461065,0.023039319,0.08726124,0.9348866,0.3902446
24,0.9948842,0.27198762,0.27196652,0.34820142,0.0,0.0,0.0,0.0,0.72886896,0.05228572,0.013375644,0.024547067,0.09025943,0.93899596,0.37930116
25,0.9783234,0.37702054,0.44234607,0.2753495,0.0,0.0,0.0,0.0,0.8385255,0.050223578,0.016559795,0.026167018,0.095316336,0.9286304,0.387743
26,0.8760348,0.62138027,0.63073987,0.15443015,0.0,0.0,0.0,0.0,0.76034534,0.03867643,0.015448716,0.021668281,0.08995336,0.9671021,0.3806213
