,Left Stick X,Left Stick Y,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
0,-1.0,-0.4493711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1496582,-0.765625,-0.4664307
1,-1.0,-0.4412105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1680908,-0.7692871,-0.4240723
2,-1.0,-0.4412105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1724854,-0.7996826,-0.3579102
3,-1.0,-0.4330592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2037354,-0.7652588,-0.30896
4,-1.0,-0.433522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2158203,-0.6381836,-0.286499
5,-1.0,-0.433522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1828613,-0.5740967,-0.2971191
6,-1.0,-0.4330592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09606934,-0.6816406,-0.3208008
7,-1.0,-0.4330592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1008301,-0.734375,-0.3154297
8,-1.0,-0.4330592,-0.03587899,0.09738582,0.0,0.0,0.0,0.0,1.0,-0.1144476,-0.0207405,-0.13094,-0.09509277,-0.7399902,-0.3983154
9,-1.0,-0.4330592,-0.07976729,0.1526974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08325195,-0.7131348,-0.432251
10,-1.0,-0.4575411,-0.1426783,0.2019032,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.06005859,-0.6846924,-0.4396973
11,-1.0,-0.5144897,-0.3421223,0.2508897,0.0,0.0,0.0,0.0,1.0,-0.05028807,-0.01591687,-0.1499415,-0.02331543,-0.7279053,-0.3967285
12,-0.9936524,-0.5387272,-0.4782272,0.2687846,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01159668,-0.770874,-0.392334
13,-0.9868394,-0.5713281,-0.6239719,0.2371823,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003540039,-0.8166504,-0.4227295
14,-0.9562932,-0.6441975,-0.9365066,0.1049198,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02197266,-0.8736572,-0.4929199
15,-0.923907,-0.6839312,-1.0,0.01176485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1446533,-0.8599854,-0.4887695
16,-0.8432577,-0.771321,-1.0,-0.04314433,0.0,0.0,0.0,0.0,1.0,0.0432302,-0.02873684,-0.1062014,0.123291,-0.866333,-0.5249023
17,-0.7866051,-0.8185484,-1.0,-0.09812176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04577637,-0.8800049,-0.5351563
18,-0.7384164,-0.8581596,-1.0,-0.1453634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02307129,-0.9348145,-0.4936523
19,-0.625725,-0.9286237,-1.0,-0.2403741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.114502,-0.9909668,-0.388916
20,-0.5702448,-0.9690174,-1.0,-0.2882255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07128906,-1.022827,-0.3476563
21,-0.4580168,-1.0,-1.0,-0.3847782,0.0,0.0,0.0,0.0,0.0,0.1351881,-0.03123569,0.0362334,-0.03076172,-1.096191,-0.2928467
22,-0.4091095,-1.0,-1.0,-0.4253754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04675293,-1.100464,-0.2717285
23,-0.3605264,-1.0,-1.0,-0.4580168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05627441,-1.082642,-0.255249
24,-0.2802319,-1.0,-0.9915852,-0.5057483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03674316,-1.113281,-0.2817383
25,-0.2403741,-1.0,-0.9836607,-0.5216986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05639648,-1.014526,-0.2719727
26,-0.1690417,-1.0,-0.9673843,-0.5453978,0.0,0.0,0.0,0.0,0.0,0.09320731,0.008246223,0.08421143,-0.0534668,-0.9571533,-0.2791748
27,-0.1296006,-1.0,-0.9590133,-0.5531238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05041504,-0.9880371,-0.2740479
28,-0.09812176,-1.0,-0.9506614,-0.5608505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05114746,-1.021851,-0.3300781
29,-0.04314433,-1.0,-0.9512189,-0.5691394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06481934,-1.056885,-0.4073486
30,-0.01176485,-1.0,-0.9423288,-0.5685782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07336426,-1.067017,-0.3826904
31,0.01176485,-1.0,-0.9423288,-0.5685782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06848145,-1.086914,-0.3743896
32,0.05884144,-1.0,-0.9428936,-0.5768758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0567627,-1.089233,-0.3828125
33,0.08240198,-1.0,-0.9340156,-0.5763075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07885742,-1.108154,-0.279541
