,Left Stick X RMS,Left Stick Y RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.5394459,0.5628994,0.41852498,0.32623923,0.0,0.0,0.0,0.0,0.60596,0.0331304,0.010320873,0.009931536,0.05607151,0.71176386,0.14290775
1,0.617536,0.6110673,0.47735947,0.378143,0.0,0.0,0.0,0.0,0.70156074,0.03428458,0.010532039,0.011416271,0.06274168,0.79120314,0.16480146
2,0.6869412,0.64850974,0.48766923,0.37985516,0.0,0.0,0.0,0.0,0.7856128,0.034703907,0.01138162,0.012963464,0.064329244,0.86306304,0.18074213
3,0.72096205,0.7260429,0.50978243,0.38268533,0.0,0.0,0.0,0.0,0.86150306,0.03523099,0.011435694,0.013737062,0.066047624,0.9337745,0.19443996
4,0.7448057,0.80305946,0.55273587,0.40500325,0.0,0.0,0.0,0.0,0.93122905,0.036074474,0.011464378,0.01398209,0.06695223,0.9989468,0.20430183
5,0.7342578,0.7829724,0.5124158,0.45156172,0.0,0.0,0.0,0.0,0.93122905,0.03471206,0.011500629,0.013207754,0.062898465,1.0014867,0.19545156
6,0.6523052,0.82956576,0.50269157,0.45404783,0.0,0.0,0.0,0.0,0.93958104,0.033269253,0.012019112,0.015074182,0.0647499,0.9924221,0.21546583
7,0.6656165,0.8044505,0.46188694,0.5250483,0.0,0.0,0.0,0.0,0.9478594,0.031809445,0.0094151115,0.014252329,0.065497026,0.9922454,0.21963851
8,0.7410299,0.72583574,0.46060395,0.5173793,0.0,0.0,0.0,0.0,0.93122905,0.030101309,0.009554166,0.014532559,0.061172385,0.9918816,0.22571918
9,0.7640526,0.688878,0.48249865,0.49921253,0.0,0.0,0.0,0.0,0.90571105,0.031940605,0.009914273,0.013628899,0.062397726,0.99250066,0.23356842
10,0.7802234,0.68459904,0.5808048,0.5225073,0.0,0.0,0.0,0.0,0.87945294,0.03222875,0.0095251,0.012344714,0.066675544,0.9949054,0.2366499
11,0.80420357,0.6686657,0.5800597,0.5366749,0.0,0.0,0.0,0.0,0.8385255,0.032713294,0.009864252,0.011795501,0.07057941,0.9914865,0.24404043
12,0.8045096,0.6740532,0.5438539,0.5209589,0.19764236,0.0,0.0,0.0,0.7756046,0.03453047,0.011007392,0.014178071,0.07447256,0.9888728,0.24794054
13,0.78997606,0.7221542,0.5361138,0.4368086,0.31868872,0.0,0.0,0.0,0.70156074,0.038051654,0.012920214,0.014130058,0.07792245,0.9947064,0.24560374
14,0.7844967,0.73564434,0.5696782,0.48361036,0.31868872,0.0,0.0,0.0,0.71260965,0.034026064,0.011607156,0.0119353365,0.079833336,0.9968155,0.24530497
15,0.72588193,0.7962528,0.63664657,0.4767112,0.31868872,0.0,0.0,0.0,0.7180703,0.038417608,0.0119165,0.012049845,0.07620596,0.9914127,0.23933247
16,0.71684164,0.8269497,0.6557641,0.5096675,0.31868872,0.0,0.0,0.0,0.70156074,0.043994237,0.011063178,0.010666568,0.08029859,0.99596345,0.23714384
17,0.6835111,0.8753925,0.6747584,0.5293917,0.31868872,0.0,0.0,0.0,0.70156074,0.043518253,0.010571133,0.010511163,0.08115983,0.9978032,0.2201274
18,0.6385276,0.91673726,0.61932665,0.5076209,0.31868872,0.0,0.0,0.0,0.69597054,0.049313635,0.010895049,0.010871481,0.08067545,1.0060325,0.20738639
19,0.5926316,0.93518066,0.6099515,0.5172019,0.31868872,0.0,0.0,0.0,0.70156074,0.055244796,0.012422483,0.011583365,0.08058162,1.0145702,0.19227634
20,0.5666041,0.93518066,0.61082464,0.5955772,0.25,0.0,0.0,0.0,0.73420876,0.056376252,0.011829598,0.0095831705,0.08033641,1.0162382,0.19434212
21,0.57354474,0.93518066,0.61082464,0.5955772,0.2795085,0.0,0.0,0.0,0.7551904,0.055187788,0.010406728,0.010800286,0.08065782,1.010432,0.19611023
22,0.5799342,0.93418103,0.5665215,0.5742214,0.293151,0.0,0.0,0.0,0.74477345,0.061641216,0.011027795,0.013347818,0.08273527,1.0075393,0.19611906
23,0.5768425,0.9068394,0.5108475,0.623118,0.293151,0.0,0.0,0.0,0.7234898,0.061949387,0.012011565,0.013547159,0.084755585,1.0166073,0.19154437
24,0.52025634,0.91916126,0.44365302,0.58384514,0.293151,0.0,0.0,0.0,0.72886896,0.061007343,0.013548577,0.014944793,0.08170502,1.0138376,0.18818709
25,0.46794116,0.9310772,0.33003408,0.62455314,0.293151,0.0,0.0,0.0,0.76034534,0.06224695,0.013873184,0.01497708,0.078687765,1.0107226,0.20495471
26,0.52422833,0.88404334,0.32934904,0.7114588,0.293151,0.0,0.0,0.0,0.79549515,0.057393517,0.013306529,0.014661946,0.0745969,0.99999344,0.22068402
27,0.6060268,0.8259241,0.4300946,0.73611116,0.293151,0.0,0.0,0.0,0.833854,0.051164545,0.011883432,0.01420786,0.07120185,0.9908834,0.23312508
28,0.6442237,0.82118595,0.5076703,0.70791775,0.293151,0.0,0.0,0.0,0.8660254,0.048971005,0.011746476,0.013600714,0.067782074,0.9896642,0.23251791
29,0.6722885,0.7744394,0.5079712,0.7173312,0.088388346,0.0,0.0,0.0,0.8660254,0.051831402,0.012827701,0.015317835,0.06995124,0.9943109,0.23458365
