,Left Stick X RMS,Left Stick Y RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.566296,0.57016706,0.48541248,0.45238215,0.0,0.0,0.0,0.0,0.4506939,0.0153699955,0.012340561,0.017437082,0.07146834,0.6901027,0.21978992
1,0.7183573,0.6783275,0.4860359,0.5014948,0.0,0.0,0.0,0.0,0.6731456,0.023701238,0.0145255625,0.02409139,0.10601775,0.8268066,0.28935173
2,0.81935906,0.80031294,0.48606542,0.5021719,0.0,0.0,0.0,0.0,0.69597054,0.024611546,0.014550331,0.027492458,0.106921546,0.98317784,0.30023232
3,0.79284126,0.837194,0.24757807,0.34812465,0.0,0.0,0.0,0.0,0.8291562,0.036267348,0.015229805,0.027923888,0.10615046,0.99004227,0.30595165
4,0.7447404,0.8880183,0.034722436,0.22064169,0.0,0.0,0.0,0.0,0.84779125,0.03500405,0.010637756,0.022923669,0.093321845,0.9706113,0.31451458
5,0.6862693,0.9373291,0.35295677,0.14429969,0.0,0.0,0.0,0.0,0.69597054,0.031267993,0.007471804,0.01740535,0.06556269,0.9954603,0.2706826
6,0.5848575,0.97376245,0.61200476,0.16875598,0.0,0.0,0.0,0.0,0.8385255,0.04960473,0.02571436,0.024410447,0.10250276,0.9640445,0.354435
7,0.49592102,0.9794868,0.7853187,0.182802,0.0,0.0,0.0,0.0,0.84779125,0.049659997,0.02662771,0.025803644,0.116299145,0.94341516,0.35303405
8,0.45679587,0.9827957,0.8077256,0.20553349,0.0,0.0,0.0,0.0,0.70710677,0.05015956,0.026389234,0.026133908,0.11232843,1.0001172,0.31498098
9,0.4553536,0.9726818,0.7398678,0.21527173,0.0,0.0,0.0,0.0,0.85695684,0.05893303,0.028252311,0.027134718,0.1335714,0.97359616,0.3698261
10,0.5160544,0.9660855,0.57218266,0.23186123,0.0,0.0,0.0,0.0,0.84779125,0.05259649,0.02034336,0.025005678,0.115478285,0.96238005,0.32708454
11,0.53047925,0.96608543,0.29191878,0.22024931,0.0,0.0,0.0,0.0,0.70710677,0.05389515,0.018747265,0.025025139,0.09982265,1.0049891,0.30210733
12,0.4734963,0.9708145,0.2213206,0.19924626,0.0,0.0,0.0,0.0,0.84779125,0.054927357,0.018667048,0.02423015,0.1120088,0.97230864,0.3396658
13,0.36422437,0.97649837,0.17328468,0.12955761,0.0,0.0,0.0,0.0,0.80039054,0.044618037,0.017323902,0.02286527,0.07893063,0.97819966,0.29158977
14,0.22187771,0.85592246,0.042977795,0.06388747,0.0,0.0,0.0,0.0,0.7180703,0.03860014,0.009032416,0.014518302,0.08632662,1.034197,0.24938965
15,0.18356651,0.8003189,0.37338057,0.37962568,0.0,0.0,0.0,0.0,0.875,0.023747314,0.022156077,0.023402244,0.1716264,0.95865536,0.3772956
16,0.15854849,0.8003189,0.6221749,0.44144714,0.0,0.0,0.0,0.0,0.8838835,0.032212205,0.022194376,0.024597932,0.16413873,0.97514075,0.35128012
17,0.15698618,0.8210801,0.7981821,0.49164647,0.0,0.0,0.0,0.0,0.9270248,0.03211639,0.020927498,0.024098499,0.16408272,1.0073991,0.3526337
18,0.16550367,0.9528416,0.94052994,0.5473671,0.0,0.0,0.0,0.0,1.0,0.027107125,0.02204028,0.023334956,0.15450753,0.9473855,0.37416467
19,0.16904137,1.0,0.9942725,0.48366585,0.0,0.0,0.0,0.0,1.0,0.027063362,0.008743704,0.014878783,0.03583994,0.99423724,0.27300403
20,0.19761093,1.0,0.9897618,0.5108607,0.0,0.0,0.0,0.0,1.0,0.010860963,0.0077597727,0.012303722,0.029584158,0.9782353,0.28377345
21,0.24783413,0.996221,0.9809678,0.5457095,0.0,0.0,0.0,0.0,1.0,0.010914615,0.007907949,0.0132288765,0.017485892,0.9527928,0.28272206
22,0.3147799,0.9905029,0.95066947,0.59673536,0.0,0.0,0.0,0.0,1.0,0.018848503,0.0035616574,0.023059882,0.016253132,0.97872865,0.2775501
23,0.32226306,0.9905029,0.8724914,0.6977638,0.0,0.0,0.0,0.0,1.0,0.019491816,0.0026635295,0.028890185,0.03537616,0.97865117,0.27963987
24,0.37788695,0.9898239,0.72571826,0.8113001,0.0,0.0,0.0,0.0,1.0,0.019043364,0.003082487,0.028766815,0.0674875,0.9690476,0.28624496
25,0.56240743,0.90685153,0.5490054,0.9079514,0.0,0.0,0.0,0.0,1.0,0.02052789,0.006836181,0.031713855,0.079832084,0.97910786,0.2903051
26,0.723844,0.77758294,0.35873625,0.9773112,0.0,0.0,0.0,0.0,1.0,0.018325016,0.0068611447,0.025330728,0.082450956,0.97666144,0.2955678
27,0.87002563,0.6564352,0.22554958,0.9980146,0.0,0.0,0.0,0.0,1.0,0.017303247,0.011478695,0.015576467,0.09044492,0.97305965,0.30961397
28,0.91362154,0.61789846,0.5174735,0.9002309,0.0,0.0,0.0,0.0,1.0,0.023234459,0.014371505,0.017163865,0.09506214,0.9576364,0.32012495
29,0.81334335,0.73940104,0.71440154,0.7643164,0.0,0.0,0.0,0.0,1.0,0.025035348,0.015476638,0.009870353,0.08527686,0.95042914,0.32397124
30,0.66219604,0.8808056,0.86156845,0.6005163,0.0,0.0,0.0,0.0,0.9437293,0.030340549,0.019422634,0.012197842,0.0880152,0.9450148,0.32760766
31,0.46804306,0.9092638,0.98339254,0.42649162,0.0,0.0,0.0,0.0,0.80039054,0.031331778,0.017645782,0.012322282,0.0735582,0.95885134,0.2994926
32,0.35660356,0.7983382,0.986481,0.458047,0.0,0.0,0.0,0.0,0.76034534,0.033303495,0.016288081,0.010612163,0.0461601,0.96279407,0.27713123
33,0.4597978,0.7383511,0.9807065,0.5021291,0.0,0.0,0.0,0.0,0.76034534,0.030979855,0.014813219,0.010498049,0.04811562,0.9863759,0.28041965
34,0.46991342,0.7378741,0.9807065,0.48232955,0.0,0.0,0.0,0.0,0.81009257,0.033139057,0.012329553,0.012918705,0.039097656,0.9919441,0.25692084
35,0.45259652,0.8168502,0.94470984,0.42157102,0.0,0.0,0.0,0.0,0.95197165,0.031392682,0.020805875,0.021358948,0.045169253,0.9943704,0.26418933
36,0.55368656,0.8936845,0.90328836,0.44060948,0.0,0.0,0.0,0.0,0.98425096,0.034272347,0.020003852,0.021104235,0.07068419,1.0164962,0.29231203
37,0.6561412,0.81616396,0.907517,0.40836933,0.0,0.0,0.0,0.0,0.98425096,0.05571381,0.01989177,0.021305451,0.07016888,0.9726764,0.2973573
38,0.8025836,0.68246496,0.89573556,0.48259294,0.0,0.0,0.0,0.0,1.0,0.055505358,0.018056368,0.02023916,0.0698478,0.9566778,0.33347654
39,0.89611095,0.58049357,0.9306577,0.49652293,0.0,0.0,0.0,0.0,1.0,0.0555003,0.005086883,0.014671392,0.06935813,0.9451915,0.3477758
40,0.82812184,0.66481656,0.9825904,0.38559574,0.0,0.0,0.0,0.0,1.0,0.050181217,0.0065385457,0.014521611,0.033280056,0.93599266,0.34242794
41,0.7608572,0.75496966,0.98447245,0.34883726,0.0,0.0,0.0,0.0,1.0,0.02439665,0.0049657654,0.014565995,0.03771585,0.9557719,0.34009472
42,0.7608572,0.7225115,0.9928909,0.2988805,0.0,0.0,0.0,0.0,1.0,0.0053358143,0.004877747,0.012500936,0.04008686,0.96722513,0.33085102
43,0.7269917,0.76006186,0.9712279,0.42364663,0.0,0.0,0.0,0.0,1.0,0.012305298,0.010456667,0.022654358,0.053799994,0.9678196,0.3360382
44,0.76901454,0.72459143,0.8793423,0.47671703,0.0,0.0,0.0,0.0,0.95197165,0.042037807,0.015332151,0.025557172,0.07642537,0.95950943,0.3493677
45,0.76224273,0.7134384,0.7315135,0.49192768,0.0,0.0,0.0,0.0,0.8291562,0.046862997,0.015325033,0.024968142,0.08511947,0.9954668,0.33121812
46,0.69217134,0.79527146,0.5716883,0.4634052,0.0,0.0,0.0,0.0,0.8291562,0.058164127,0.020000614,0.025189955,0.12026789,0.9725781,0.3943164
47,0.7114782,0.75987136,0.42701617,0.33198255,0.0,0.0,0.0,0.0,0.81009257,0.057405874,0.02783517,0.01963683,0.1287019,0.9450597,0.3977693
48,0.70786786,0.7037174,0.31997412,0.22709404,0.0,0.0,0.0,0.0,0.72886896,0.050591476,0.025954252,0.019491183,0.11697621,1.0064416,0.36276865
49,0.6075394,0.5983213,0.3013128,0.16444233,0.0,0.0,0.0,0.0,0.8660254,0.06270476,0.029583817,0.028786432,0.11496143,0.93685293,0.44392508
50,0.47012445,0.4832718,0.23167333,0.116485044,0.0,0.0,0.0,0.0,0.81009257,0.055745307,0.028768143,0.030357867,0.07699572,0.952171,0.3850399
51,0.28361702,0.33424285,0.016584743,0.04388483,0.4677072,0.0,0.0,0.0,0.72886896,0.060631294,0.02047994,0.02775662,0.065617025,0.9797787,0.3745077
52,0.3117485,0.30347905,0.016584743,0.04388483,0.6846532,0.0,0.0,0.0,0.85695684,0.052860714,0.01949613,0.028038396,0.083609916,0.93346477,0.4007814
53,0.43137068,0.5310324,0.0,0.0,0.84779125,0.0,0.0,0.0,0.69597054,0.031747226,0.01327654,0.018372072,0.07677699,0.9589826,0.3348428
54,0.4442559,0.72850263,0.0,0.0,0.98425096,0.0,0.0,0.0,0.7180703,0.02544515,0.009480318,0.01550922,0.080086835,0.9591655,0.35089058
