,Left Stick X RMS,Left Stick Y RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.69722396,0.31552398,0.6768702,0.08777736,0.0,0.0,0.0,0.0,0.572822,0.011623201,0.0052347095,0.009217883,0.045058746,0.68254024,0.21314612
1,0.7971249,0.5303319,0.84151846,0.13450365,0.0,0.0,0.0,0.0,0.69597054,0.018751988,0.007716081,0.013566617,0.057780996,0.83892006,0.25954172
2,0.8163057,0.7288703,0.97885305,0.21342546,0.0,0.0,0.0,0.0,0.78062475,0.021658119,0.010882281,0.013757974,0.071994655,0.9680274,0.30242378
3,0.6569751,0.8693863,0.9936981,0.23267597,0.0,0.0,0.0,0.0,0.75,0.027089149,0.01083458,0.015682494,0.08166193,0.9721695,0.29750803
4,0.5009008,0.96464497,0.915319,0.24265932,0.0,0.0,0.0,0.0,0.73951,0.02498852,0.011302169,0.014081831,0.0896044,0.97148794,0.29760265
5,0.4801577,0.97459036,0.7753576,0.28850898,0.0,0.0,0.0,0.0,0.76034534,0.027859515,0.01506455,0.01734536,0.090943344,0.9692606,0.2986106
6,0.5993575,0.9329611,0.603576,0.3460506,0.0,0.0,0.0,0.0,0.7905694,0.029363167,0.015724255,0.020332774,0.09009109,0.9739591,0.2941344
7,0.751918,0.8485639,0.3699726,0.411881,0.0,0.0,0.0,0.0,0.7905694,0.024954738,0.016277358,0.019062594,0.08816439,0.968728,0.29227978
8,0.8717649,0.7081305,0.20707144,0.47158134,0.0,0.0,0.0,0.0,0.7905694,0.026235173,0.017033208,0.020141045,0.08826689,0.97025514,0.29355353
9,0.8997351,0.64189845,0.2994757,0.5897883,0.0,0.0,0.0,0.0,0.73951,0.021547822,0.01646118,0.016487965,0.08860964,0.9736274,0.28812417
10,0.82320046,0.7007864,0.38855064,0.64703566,0.0,0.0,0.0,0.0,0.70710677,0.01751045,0.015786443,0.013168334,0.082823195,0.9676353,0.2903585
11,0.80458415,0.7156324,0.41947737,0.66332304,0.0,0.0,0.0,0.0,0.75,0.020921044,0.015024951,0.013972118,0.07469197,0.97129005,0.29719752
12,0.6686644,0.846592,0.44190475,0.63464165,0.0,0.0,0.0,0.0,0.75,0.02071671,0.014449426,0.013302128,0.06850464,0.97066647,0.2951843
13,0.67217326,0.8332869,0.5773158,0.522171,0.0,0.0,0.0,0.0,0.73951,0.025974905,0.01365991,0.017250208,0.072512306,0.9692439,0.30036876
14,0.80035067,0.718761,0.67905885,0.41139004,0.0,0.0,0.0,0.0,0.7180703,0.025775388,0.015750559,0.017572014,0.09383508,0.980551,0.285375
15,0.7381083,0.79160845,0.7892245,0.31499314,0.0,0.0,0.0,0.0,0.6614378,0.025157776,0.017800795,0.017679347,0.097209305,0.97578365,0.30431286
16,0.74298304,0.8011392,0.82710826,0.28198346,0.0,0.0,0.0,0.0,0.69597054,0.028074699,0.017898897,0.018829329,0.09861843,0.9701083,0.31689915
17,0.6313555,0.89588344,0.7073694,0.22837646,0.0,0.0,0.0,0.0,0.77055174,0.023889398,0.016405795,0.014715102,0.09804679,0.97499937,0.32749194
18,0.45082015,0.9903024,0.54601616,0.14421825,0.3952847,0.0,0.0,0.0,0.70710677,0.026029702,0.012402919,0.021367736,0.0974314,0.96453375,0.3327338
19,0.34898233,1.0,0.31839877,0.08739854,0.3952847,0.0,0.0,0.0,0.72886896,0.029523477,0.011056448,0.021672728,0.10012741,0.965525,0.32297722
20,0.26824638,1.0,0.14166138,0.45424497,0.3952847,0.0,0.0,0.0,0.69597054,0.027521502,0.010384903,0.02081593,0.10613509,0.97150874,0.31494647
