,Left Stick X,Left Stick Y,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
0,-1.0,0.3444016,0.7600945,-0.003744307,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.06604004,-0.9886475,-0.1916504
1,-1.0,0.3444016,0.7699232,0.06384729,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03503418,-0.9327393,-0.378418
2,-1.0,0.3444016,0.7986447,0.1097663,0,0.0,0.0,0.0,1.0,-0.01949107,-0.0362334,-0.02198993,-0.0526123,-0.9256592,-0.3786621
3,-1.0,0.336352,0.8083089,0.125231,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.04846191,-0.9196777,-0.3457031
4,-1.0,0.3202776,0.8269344,0.1333765,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.04052734,-0.9418945,-0.315918
5,-1.0,0.3122526,0.8544987,0.1341141,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02734375,-0.9525146,-0.3261719
6,-1.0,0.3042357,0.8820719,0.1348145,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.04003906,-0.9676514,-0.2958984
7,-1.0,0.2962267,0.9280447,0.1359061,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.04614258,-1.003906,-0.2355957
8,-1.0,0.2962267,0.9464392,0.1363184,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01867676,-1.012573,-0.2792969
9,-1.0,0.2962267,0.9639882,0.09756966,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003540039,-0.9936523,-0.3220215
10,-1.0,0.2962267,0.9908403,0.02741455,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02685547,-0.9849854,-0.3535156
11,-1.0,0.2962267,1.0,-0.02745281,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.05114746,-0.9545898,-0.3284912
12,-1.0,0.3122526,1.0,-0.09812176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08569336,-0.9483643,-0.3175049
13,-1.0,0.3202776,1.0,-0.1296006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09899902,-0.961792,-0.2984619
14,-1.0,0.3283107,1.0,-0.1611441,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1166992,-0.9589844,-0.2679443
