,Left Stick X RMS,Left Stick Y RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.60448205,0.42448127,0.32817778,0.31670162,0.0,0.0,0.0,0.0,0.572822,0.046175692,0.016575392,0.01985482,0.07935382,0.71957964,0.14119808
1,0.62980044,0.4256218,0.3282129,0.3170711,0.0,0.0,0.0,0.0,0.5896238,0.046536423,0.016581839,0.023119202,0.079414316,0.74289435,0.14216734
2,0.6535394,0.42947096,0.32830498,0.3188269,0.0,0.0,0.0,0.0,0.6155536,0.048809048,0.020482885,0.024907712,0.08310228,0.76073515,0.1531412
3,0.66399384,0.45660397,0.32830498,0.31882694,0.0,0.0,0.0,0.0,0.6202948,0.051231228,0.022113344,0.027082086,0.08402227,0.78590757,0.15507734
4,0.6659026,0.48875764,0.32830498,0.31882694,0.088388346,0.0,0.0,0.0,0.6449927,0.051901642,0.0221529,0.027136393,0.08413501,0.79907185,0.15699677
5,0.67474407,0.51189333,0.32830498,0.31882694,0.19764236,0.0,0.0,0.0,0.6673174,0.052400235,0.022198703,0.028131649,0.08728443,0.8181443,0.16111755
6,0.6962387,0.5170959,0.32830498,0.3188269,0.26516503,0.0,0.0,0.0,0.6673174,0.0586216,0.022844857,0.032212682,0.088897765,0.84663033,0.16338082
7,0.7182382,0.5225034,0.32830498,0.3188269,0.26882267,0.0,0.0,0.0,0.6731456,0.05914797,0.023008138,0.032281816,0.09080049,0.86440897,0.16604333
8,0.736191,0.5364904,0.3292259,0.31892464,0.26882267,0.0,0.0,0.0,0.69597054,0.060888957,0.024340289,0.038789965,0.106008165,0.8772213,0.17980336
9,0.7418457,0.5622239,0.35613656,0.33303827,0.26882267,0.0,0.0,0.0,0.70710677,0.06176985,0.025129434,0.041117392,0.10742041,0.90023714,0.18254799
10,0.7561273,0.5794422,0.37200314,0.37064794,0.26882267,0.0,0.0,0.0,0.70710677,0.061771214,0.025206652,0.041156378,0.10868603,0.9190441,0.18279688
11,0.7765169,0.5815791,0.37628394,0.38632634,0.26882267,0.0,0.0,0.0,0.72886896,0.062068187,0.025306769,0.041950554,0.10952968,0.93263227,0.18975954
12,0.791792,0.59297144,0.37628397,0.3863913,0.26882267,0.0,0.0,0.0,0.73951,0.06279214,0.025356296,0.042135555,0.110136524,0.95045006,0.19112664
13,0.7985062,0.6148157,0.37628397,0.3863913,0.26882267,0.0,0.0,0.0,0.7538961,0.06309596,0.025969151,0.04225293,0.11099192,0.97184587,0.19297521
14,0.79946864,0.6397252,0.37628397,0.3863913,0.26882267,0.0,0.0,0.0,0.7743445,0.063124284,0.02659678,0.04295134,0.11281952,0.98287797,0.20382652
15,0.79972804,0.6637005,0.37628397,0.3863913,0.26882267,0.0,0.0,0.0,0.78062475,0.06477746,0.026907284,0.04317789,0.113476165,1.0021797,0.2044285
