,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
0,0.7019819,-0.9426614,-0.6068965,-0.1256886,0.0,0.0,0.0,0.0,0.0,-0.9953752,0.2164185,0.4313376,-1.089478,-1.309937,-0.2034912
1,0.8686867,-0.7646044,-0.9875154,-0.2635998,0.0,0.0,0.0,0.0,0.0,-2.246562,0.3968345,0.8391511,-0.9627686,-0.7357178,-0.3939209
2,0.9474515,-0.6436275,-1.0,-0.2403741,0.0,0.0,0.0,0.0,0.0,-1.157064,0.1764336,0.3548664,-0.7751465,-0.4744873,-0.5018311
3,0.9873765,-0.579634,-1.0,-0.1848525,0.0,0.0,0.0,0.0,0.0,-2.199331,0.3221155,0.5590153,-0.5583496,-0.03259277,-0.4080811
4,0.9947014,-0.5552751,-1.0,-0.1611441,0.0,0.0,0.0,0.0,0.0,-1.941694,0.2960279,0.3652301,-0.503418,0.1541748,-0.4632568
5,0.9941757,-0.5469962,-1.0,-0.1296006,0.0,0.0,0.0,0.0,0.0,-1.77001,0.2808824,0.1974168,-0.3325195,0.302124,-0.5612793
6,0.9941757,-0.5469962,-1.0,-0.1059862,0.0,0.0,0.0,0.0,0.0,-1.54773,0.2076471,0.09545294,-0.2236328,0.3898926,-0.6158447
7,1.0,-0.547518,-1.0,-0.08240198,0.0,0.0,0.0,0.0,0.0,-0.6230154,0.07147308,-0.004498306,-0.1987305,0.4238281,-0.6408691
8,1.0,-0.4253754,-1.0,-0.05099206,0.0,0.0,0.0,0.0,0.0,-0.9467142,0.09605552,-0.09663141,-0.1109619,0.3630371,-0.5998535
9,1.0,-0.2722459,-1.0,-0.003921574,0.0,0.0,0.0,0.0,0.0,-0.7849239,0.06497312,-0.1746765,-0.07275391,0.3518066,-0.5938721
10,1.0,-0.1059862,-1.0,0.07454614,0.0,0.0,0.0,0.0,0.0,-0.5389645,0.01641644,-0.244857,-0.03479004,0.3969727,-0.6379395
11,1.0,0.06669273,-1.0,0.1927661,0.0,0.0,0.0,0.0,0.0,-0.1456833,-0.03048604,-0.1751698,-0.05419922,0.4277344,-0.6727295
12,1.0,0.2086106,-1.0,0.3605264,0.0,0.0,0.0,0.0,0.0,0.0007497177,-0.06222657,-0.2259149,-0.1094971,0.513916,-0.7596436
13,1.0,0.3122526,-0.9297888,0.6424721,0.0,0.0,0.0,0.0,0.0,0.4330718,-0.1719286,-0.5800086,-0.1469727,0.494751,-0.8548584
14,1.0,0.3686016,-0.8099219,0.7859832,0.0,0.0,0.0,0.0,0.0,0.7244463,-0.2031651,-0.6359844,-0.1402588,0.4318848,-0.7832031
15,1.0,0.4498426,-0.7062927,0.8818683,0.0,0.0,0.0,0.0,0.0,0.4533293,-0.1074595,-0.3306255,-0.1876221,0.3206787,-0.6704102
16,1.0,0.5734303,-0.5935025,0.9440273,0.0,0.0,0.0,0.0,0.0,0.9583224,-0.2038365,-0.5930173,-0.3476563,0.317749,-0.6533203
17,1.0,0.6385895,-0.5211732,0.9747131,0.0,0.0,0.0,0.0,0.0,1.074534,-0.1855477,-0.5256201,-0.4224854,0.2695313,-0.6594238
18,0.9520346,0.7110133,-0.481615,1.0,0.0,0.0,0.0,0.0,0.0,1.20045,-0.1767326,-0.4811994,-0.4841309,0.137207,-0.6091309
19,0.9116721,0.7590574,-0.4172379,1.0,0.0,0.0,0.0,0.0,0.0,0.7111742,-0.08421143,-0.2323936,-0.5257568,0.09350586,-0.592041
20,0.8630162,0.8068197,-0.2962267,1.0,0.0,0.0,0.0,0.0,0.0,1.684798,-0.1734278,-0.5447736,-0.512207,0.03381348,-0.5369873
21,0.8222179,0.8382612,-0.1769445,1.0,0.0,0.0,0.0,0.0,0.0,1.892462,-0.1879216,-0.7007089,-0.512085,-0.05773926,-0.4801025
22,0.8062198,0.8543524,-0.035298,1.0,0.0,0.0,0.0,0.0,0.0,0.9424722,-0.08073061,-0.4417118,-0.5527344,-0.1330566,-0.34021
23,0.7982369,0.8624167,0.1374799,1.0,0.0,0.0,0.0,0.0,0.0,2.044858,-0.08759614,-1.198436,-0.5415039,-0.300415,-0.1417236
24,0.77375,0.8779858,0.2802319,1.0,0.0,0.0,0.0,0.0,0.0,3.257131,0.0446359,-2.109657,-0.4715576,-0.5998535,0.03210449
25,0.765208,0.877385,0.4091095,1.0,0.0,0.0,0.0,0.0,0.0,2.283047,0.1679292,-1.539857,-0.3735352,-0.8514404,0.08581543
26,0.7487553,0.8848926,0.5806994,1.0,0.0,0.0,0.0,0.0,0.0,2.115075,0.2773167,-1.541313,-0.2818604,-1.068481,0.2069092
27,0.7402433,0.8842907,0.6929545,0.9332856,0.0,0.0,0.0,0.0,0.0,1.056516,0.2231478,-0.7958855,-0.2457275,-1.182007,0.307251
28,0.731741,0.8836871,0.7970289,0.8450909,0.0,0.0,0.0,0.0,0.0,1.914203,0.6374828,-1.48938,-0.1951904,-1.469849,0.3614502
29,0.7323431,0.892418,0.8606049,0.772543,0.0,0.0,0.0,0.0,0.0,0.8011983,0.4125946,-0.6445073,-0.1680908,-1.576904,0.3536377
